,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,코코,COCO,2017,미국,애니메이션,주연(목소리),27723419440.0,3513137.0,27723419440.0,3513137.0
1,네루다,NERUDA,2016,"칠레,아르헨티나,프랑스","스릴러,드라마",주연,79054700.0,10113.0,79348200.0,10164.0
2,솔트 앤 파이어,Salt and Fire,2016,"미국,프랑스,독일,멕시코",스릴러,주연,,,,
3,디시에르토,Desierto,2015,"멕시코,프랑스","드라마,스릴러",주연-모세 역역,103452500.0,13812.0,103452500.0,13812.0
4,발칙한 판타지 팩토리,Zoom,2015,"브라질,캐나다","애니메이션,코미디,드라마",주연-에드워드역(목소리),,,,
5,리틀 빗 오브 헤븐,A Little Bit Of Heaven,2013,미국,"코미디,멜로/로맨스,드라마",주연,,,,
6,알바레즈 형제: 마약왕을 제거하라,House of My Father,2012,"미국,멕시코","서부극(웨스턴),코미디,액션",주연-온자역,8000.0,1.0,8000.0,1.0
7,레터스 투 줄리엣,"Letters To Juliet,",2010,미국,"멜로/로맨스,코미디",주연-빅터역,4343347481.0,593630.0,4273595500.0,583354.0
8,루도와 쿠르시,Rough and Vulgar,2009,"미국,멕시코","코미디,드라마",주연,,,,
9,적자,Deficit,2007,멕시코,드라마,"감독,주연",,,,
10,수면의 과학,The Science Of Sleep,2006,프랑스,"코미디,판타지",주연-스테판 미루역,0.0,57447.0,412963200.0,58395.0
11,더 킹,The King,2005,"미국,영국",드라마,주연-엘비스 역,17371500.0,2634.0,17624500.0,2588.0
12,모터사이클 다이어리,The Motorcycle Diaries,2004,영국,드라마,주연,0.0,110000.0,591780000.0,91382.0
13,닷 더 아이,Dot The I,2003,"영국,스페인,미국","드라마,멜로/로맨스",주연,,,,
14,아마로 신부의 죄악,The Crime Of Father Amaro,2002,"멕시코,스페인,아르헨티나,프랑스","드라마,멜로/로맨스",주연,,,,
15,아모레스 페로스,Amores Perros,2000,멕시코,"드라마,스릴러",주연,0.0,1016.0,,
