,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,다키스트 아워,Darkest Hour,2017,영국,"드라마,전쟁",주연,282157800.0,37300.0,283477800.0,37520.0
1,킬러의 보디가드,The Hitman's Bodyguard,2017,미국,"액션,코미디",주연-블라디슬라프역,14020395800.0,1721757.0,14020488300.0,1721772.0
2,스페이스 비트윈 어스,The Space Between Us,2016,미국,"어드벤처,드라마,멜로/로맨스,SF",주연,215291361.0,28085.0,215291361.0,28085.0
3,크리미널,Criminal,2016,"영국,미국","액션,범죄",주연,738985181.0,92358.0,738985181.0,92358.0
4,차일드 44,Child 44,2015,미국,스릴러,주연-네스테로프역,168643231.0,21604.0,168643231.0,21604.0
5,혹성탈출: 반격의 서막,Dawn of the Planet of the Apes,2014,미국,"액션,드라마,SF,스릴러",주연,31514053095.0,4002560.0,31514053095.0,4002560.0
6,파라노이아,Paranoia,2013,"미국,프랑스","드라마,스릴러",주연,8000.0,1.0,8000.0,1.0
7,로보캅,RoboCop,2013,미국,"액션,SF",주연,7299641958.0,979509.0,7299641958.0,979509.0
8,로우리스: 나쁜 영웅들,Lawless,2012,미국,"액션,범죄",주연,468141666.0,66468.0,468390166.0,66504.0
9,다크 나이트 라이즈,The Dark Knight Rises,2012,"미국,영국","액션,범죄,스릴러",주연-짐 고든역,47644838000.0,6396528.0,47675463500.0,6399303.0
10,팅커 테일러 솔저 스파이,"Tinker, Tailor, Soldier, Spy",2011,"영국,프랑스,독일",스릴러,주연,648304500.0,87155.0,663163200.0,88986.0
11,레드 라이딩 후드,Red Riding Hood,2011,"미국,캐나다","드라마,판타지,멜로/로맨스",주연-솔로몬 신부역,2728562500.0,362572.0,2728562500.0,362572.0
12,지.지.지,"Guns, Girls and Gambling",2011,미국,"액션,스릴러,범죄",주연-엘비스 역역,,,,
13,레인 폴,Rain Fall,2009,일본,"스릴러,액션",주연,150000.0,30.0,150000.0,30.0
14,플래닛 51,Planet 51,2009,"스페인,영국","애니메이션,코미디,어드벤처,가족",주연-그롤 장군역(목소리),292826223.0,46330.0,288235500.0,45594.0
15,일라이,The Book Of Eli,2009,미국,"액션,어드벤처,드라마,스릴러,서부극(웨스턴)",주연-카네기 역,1661141088.0,222927.0,1634626500.0,219196.0
16,크리스마스 캐롤,A Christmas Carol,2009,미국,"애니메이션,드라마,가족,판타지",주연-밥 크라칫역(목소리),2703851150.0,358286.0,2688525500.0,355757.0
17,언데드,The Unborn,2009,미국,"공포(호러),스릴러",주연-래비 센닥역,1449559974.0,217924.0,1427608500.0,214638.0
18,다크 나이트,The Dark Knight,2008,미국,"범죄,드라마,액션,미스터리",조연,27059471306.0,4087355.0,27789718400.0,4175526.0
19,백우즈,BackWoods,2006,"영국,프랑스,스페인","스릴러,드라마",주연,,,,
20,게리 올드만의 씬,Sin,2003,미국,"범죄,드라마,스릴러",주연,,,,
21,팁토,Tiptoes,2003,"미국,프랑스","코미디,드라마,멜로/로맨스",주연,,,,
22,인터스테이트,Interstate 60,2002,"미국,캐나다","어드벤처,판타지,드라마",주연,0.0,12084.0,1007500.0,135.0
23,컨텐더,The Contender,2002,미국,"범죄,드라마",주연,0.0,18157.0,,
24,한니발,Hannibal,2001,미국,"공포(호러),범죄",주연,0.0,282997.0,,
25,노바디 베이비,Nobody's Baby,2001,미국,"코미디,드라마",주연,,,,
26,매직 스워드,Quest For Camelot,1998,미국,"애니메이션,어드벤처,가족,판타지",주연,0.0,38962.0,,
27,제 5원소 리마스터링 감독판,The Fifth Element,1997,프랑스,"SF,액션,어드벤처",주연,2060000.0,677.0,2060000.0,677.0
28,로스트 인 스페이스,Lost In Space,1997,"미국,영국","SF,액션,어드벤처",주연,0.0,281193.0,,
29,에어 포스 원,Air Force One,1997,미국,"드라마,액션,스릴러",주연,0.0,663415.0,75000.0,23.0
30,제5원소,The Fifth Element,1996,프랑스,"SF,액션,스릴러,어드벤처",주연,0.0,857752.0,245000.0,28.0
31,주홍글씨,The Scarlet Letter,1995,미국,드라마,주연,0.0,137859.0,,
32,일급살인,Murder In The First,1994,미국,스릴러,주연,0.0,77531.0,,
33,레옹,Leon,1994,프랑스,"액션,범죄",주연,0.0,606875.0,347987500.0,45866.0
34,불멸의 연인,Immortal Beloved,1994,미국,드라마,주연-루드윅 반 베토벤 역,0.0,188698.0,2557000.0,1127.0
35,레옹 디 오리지널,LEON,1994,프랑스,"액션,범죄,드라마",주연,,,,
36,로미오이즈블리딩,Romeo Is Bleeding,1993,미국,"범죄,스릴러,액션",주연,0.0,14804.0,,
37,드라큐라,Dracula,1992,미국,"공포(호러),스릴러,드라마,멜로/로맨스",주연,0.0,301184.0,183000.0,60.0
38,JFK,Jfk,1991,미국,"미스터리,범죄,스릴러",주연-리 하비 오스왈드역,0.0,213727.0,,
39,고독한 투쟁,Chattahoochee,1989,미국,드라마,주연-에밋 폴리 역역,,,,
