,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,파라독스,Paradox,2017,"홍콩,중국","액션,범죄",주연,2830900.0,384.0,3232700.0,445.0
1,묘성인,Meow,2017,중국,"드라마,코미디,SF",주연,,,,
2,삼인행: 생존 게임,Three,2016,"홍콩,중국","범죄,액션",주연,785500.0,143.0,785500.0,143.0
3,제트스톰 2: 승부조작단,S Storm,2016,홍콩,"액션,미스터리",주연,62000.0,13.0,62000.0,13.0
4,사도행자: 특별수사대,Line Walker,2016,중국,"액션,드라마",주연,,,1264000.0,158.0
5,봉신연의: 영웅의 귀환,League of Gods,2015,홍콩,"판타지,액션",주연,48190000.0,6343.0,48422500.0,6380.0
6,살파랑2: 운명의 시간,SPL 2: A Time for Consequences,2015,중국,"액션,범죄",주연,,,,
7,작전명: 제트스톰,Z-Storm,2014,홍콩,"액션,범죄",주연,,,728000.0,161.0
8,화이트 스톰,The White Storm,2013,홍콩,"액션,범죄,스릴러",주연,6187000.0,1046.0,6187000.0,1046.0
9,마약전쟁,Drug War,2013,홍콩,"범죄,액션,드라마,스릴러",주연,2055000.0,322.0,2319000.0,372.0
10,무간지옥 - 아웃 오브 인페르노,Out Of Inferno,2013,"홍콩,중국","드라마,액션,스릴러",주연,1040000.0,130.0,1040000.0,130.0
11,천녀유혼,A Chinese Fairy Tale,2010,중국,"SF,판타지,멜로/로맨스",주연-연적하역,497089500.0,66219.0,497537500.0,66357.0
12,용의자,Triple Tap,2010,홍콩,"액션,스릴러",주연,,,,
13,엑시던트,Accident,2009,홍콩,스릴러,주연,679000.0,101.0,735000.0,109.0
14,가유희사 2009,"All's Well, Ends Well 2009",2009,홍콩,코미디,주연,,,,
15,대내밀탐령령구,On His Majesty's Secret Service,2009,"홍콩,중국,대만","코미디,사극",주연,,,,
16,절청풍운,Overheard,2009,"홍콩,싱가포르,중국","액션,스릴러,드라마",주연,,,,
17,포커킹,Poker King,2009,홍콩,코미디,주연,,,,
18,커넥트,Connected,2008,홍콩,"액션,스릴러,범죄",주연,1145569333.0,188807.0,1147879500.0,189315.0
19,도화선,Flash Point,2007,홍콩,액션,주연,223255000.0,40978.0,224266000.0,40163.0
20,무간도 4 - 문도,Protege,2007,홍콩,스릴러,주연,,,,
21,생일쾌악,Happy Birthday,2007,홍콩,"멜로/로맨스,드라마",주연,,,,
22,트라이 앵글,The Iron Triangle,2007,"중국,홍콩",액션,주연,,,,
23,흑사회 2,Election 2,2006,홍콩,"드라마,범죄,액션",주연,,,2474000.0,364.0
24,BB프로젝트,Rob-B-Hood,2006,홍콩,액션,주연-난봉 역,0.0,406558.0,2073130500.0,349173.0
25,흑사회,Election,2005,홍콩,"드라마,액션",주연,,,2762000.0,404.0
26,귀마광상곡,Fantasia,2004,홍콩,"판타지,코미디",주연,,,,
27,연정고급,Love On The Rocks,2004,홍콩,"멜로/로맨스,코미디",주연,,,,
28,유도용호방,Throw Down,2004,"홍콩,중국","액션,드라마",주연,,,104000.0,15.0
29,굿 타임 베드 타임,"Good Times, Bed Times",2003,홍콩,"멜로/로맨스,코미디",주연,,,,
30,실억계녀왕,"Why Me, Sweetie?!",2003,홍콩,"멜로/로맨스,코미디",주연,,,,
31,호정,Naked Ambition,2003,홍콩,코미디,주연,,,,
32,건시열화,Dry Wood Fierce Fire,2002,홍콩,"코미디,멜로/로맨스",주연,,,,
33,백년호합,Love For All Seasons,2002,홍콩,코미디,주연,,,,
34,아가유일척하동사,The Lion Roars,2002,홍콩,코미디,주연,,,,
35,역고력고신년재,Fat Choi Spirit,2002,홍콩,코미디,주연,,,,
36,공포의 파이터,Born Wild,2001,홍콩,액션,주연,,,,
37,절세호브라,La Brassiere,2001,홍콩,"멜로/로맨스,코미디",주연,,,,
38,용재변연,Century Of The Dragon,1999,중국,"액션,스릴러,범죄",주연,0.0,540.0,,
39,야차,The Masked Prosecutor,1999,홍콩,"범죄,드라마",주연,,,,
40,폭렬형경,Bullets Over Summer,1999,홍콩,"액션,범죄",주연,,,,
41,극도중범,The Suspect,1998,홍콩,"액션,범죄,스릴러",주연,,,,
42,첨언밀어,Sealed With A Kiss,1997,홍콩,멜로/로맨스,주연-금수역,0.0,1559.0,,
43,건륭대제,War And Remembrance,1997,홍콩,"사극,액션",주연,,,,
44,음양로,Troublesome Night,1997,홍콩,공포(호러),주연,,,,
45,용호쟁투,Street Of Fury,1996,홍콩,"액션,드라마",주연,0.0,143.0,,
