,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,딜쿠샤,Dilkusha,2015,한국,"다큐멘터리,판타지",주연,10486400.0,1403.0,11161400.0,1557.0
1,굿바이데이,Goodbye-day,2007,한국,드라마,주연,,,,
2,나 이제 너를 잊으리,I Will Forget You Now,1991,한국,"드라마,멜로/로맨스",주연,0.0,,,
3,달아난 말,Speeding Horse,1989,한국,멜로/로맨스,주연,0.0,11145.0,,
4,아메리카 아메리카,"America, America",1988,한국,드라마,주연,0.0,127449.0,,
5,레테의 연가,,1987,한국,"드라마,멜로/로맨스",주연,0.0,20335.0,,
6,뛰는자 나는자,You Cannot Outdo Others,1986,한국,"드라마,코미디",주연,0.0,3835.0,,
7,영웅연가,Hero's Love Song,1986,한국,"드라마,미스터리",주연,0.0,28349.0,,
8,내시,Eunuch,1986,한국,사극,주연,0.0,152558.0,,
9,빨간 하이힐,Red High Heels,1986,한국,"드라마,멜로/로맨스",주연,0.0,3558.0,,
10,단,Dan Martial Arts,1986,한국,드라마,주연,0.0,4306.0,,
11,밤의 열기속으로,Into The Heat Of The Night,1985,한국,드라마,주연,0.0,33650.0,,
12,그대 눈물이 마를 때,When Your Tears Dry,1984,한국,멜로/로맨스,주연,0.0,357.0,,
13,연인들,Sweethearts,1983,한국,"드라마,멜로/로맨스",주연,0.0,5688.0,,
14,사랑만들기,Making A Love,1983,한국,"드라마,멜로/로맨스",주연,0.0,92593.0,,
15,이 깊은밤의 포옹,An Embrace In The Dark Night,1981,한국,드라마,주연,0.0,19608.0,,
