,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,게스트하우스,Guest House,2017,한국,"드라마,멜로/로맨스",주연,2062500,303,2062500,303
1,어떻게 헤어질까,How to Break up with My Cat,2016,한국,"판타지,드라마",조연,8909600,1154,8909600,1154
2,꿈보다 해몽,A Matter of Interpretation,2014,한국,"드라마,코미디",주연-신우연역,32497900,4322,33515900,4801
3,나의 독재자,My Dictator,2014,한국,드라마,단역-병장역,2906692546,385934,2907311546,386072
4,슬로우 비디오,Slow Video,2014,한국,"드라마,코미디",조연-상만역,8913092219,1169562,8913092219,1169562
5,제보자,The Whistleblower,2014,한국,드라마,조연-이도형역,13515762802,1755181,13515762802,1755181
6,끝까지 간다,A Hard Day,2013,한국,"액션,스릴러,범죄",단역-영철역,27007303900,3450305,27007303900,3450305
7,관상,The Face Reader,2013,한국,"사극,드라마",단역-용의자3역,66005451500,9134586,66009826500,9135806
8,마이 라띠마,Mai Ratima,2012,한국,"멜로/로맨스,드라마",단역-취업알선 브로커2역,49305300,7172,49305300,7172
9,연애의 온도,Very Ordinary Couple,2012,한국,"멜로/로맨스,코미디",조연-박계장역,13798864446,1865195,13800120446,1865354
10,헤드,Head,2011,한국,"액션,스릴러",단역-편집 기사역,462025000,61414,462025000,61414
11,김종욱 찾기,Finding Mr. Destiny,2010,"한국,인도","멜로/로맨스,드라마",단역-세트팀원역,8271660983,1130638,8209024000,1122225
12,핸드폰,Handphone,2008,한국,스릴러,단역-룸살롱 기자1역,4271780582,630049,4221938000,622486
