,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,더 테너 리리코 스핀토,The Tenor Lirico Spinto,2014,한국,드라마,단역-재철 부역,391554441.0,50514.0,391554441.0,50514.0
1,감기,Flu,2013,한국,"드라마,어드벤처,액션",조연-국무총리역,21784202000.0,3119023.0,21774884000.0,3117859.0
2,체브라시카,Cheburashka,2010,일본,애니메이션,주연(목소리),41034500.0,6261.0,41229500.0,6302.0
3,쿵푸 팬더,Kung Fu Panda,2008,미국,"애니메이션,코미디,액션,가족",주연,30000965000.0,4673009.0,29998150000.0,4654266.0
4,가루지기,A Tale of Legendary Libido,2008,한국,"드라마,뮤지컬,코미디",조연-봉사 의원역,1777787000.0,272648.0,1777803000.0,269478.0
5,상사부일체,"The Mafia, The Salesman",2007,한국,"코미디,액션",단역-수정 부역,0.0,947510.0,5807823500.0,883965.0
6,복면달호,Highway Star,2007,한국,"코미디,드라마",단역-최 회장역,0.0,1611192.0,9008143000.0,1507970.0
7,Mr.로빈 꼬시기,Seducing Mr. Perfect,2006,한국,"멜로/로맨스,코미디",조연-민준 부역,0.0,730443.0,3990360200.0,680241.0
8,음란서생,Forbidden Quest,2006,한국,"사극,코미디",조연-필사장이역,0.0,2576022.0,14944551700.0,2304368.0
9,마지막 늑대,The Wolf Returns,2004,한국,코미디,단역-근엄한 목소리역,0.0,158727.0,303851500.0,47731.0
10,대한민국 헌법 제1조,The First Amendment,2003,한국,코미디,단역-변총재역,0.0,301595.0,,
11,철없는 아내와 파란만장한 남편 그리고 태권소녀,A Bizarre Love Triangle,2002,한국,코미디,조연-늙은 남자 - 석만창역,,13357.0,,
12,하얀방,Unborn But Forgotten,2002,한국,공포(호러),단역-보도국장역,,68940.0,,
13,공포택시,Ghost Taxi,2000,한국,"드라마,코미디",단역-견인차 운전수역,0.0,14651.0,,
14,실락원,Paradise Lost,1998,한국,"멜로/로맨스,드라마",단역,0.0,46328.0,,
15,투캅스 3,Two Cops 3,1998,한국,"액션,코미디",조연-보스역,0.0,117186.0,,
16,런어웨이,Run Away,1995,한국,액션,단역-김 과장역,0.0,72274.0,,
17,헤어드레서,The Hair Dresser,1995,한국,코미디,단역-본부장역,0.0,105863.0,,
18,복수혈전,A Bloody Battle For Revenge,1992,한국,액션,"단역-uncredited, 더빙 성우 (목소리)역(목소리)",0.0,20637.0,,
19,머털도사,,1989,한국,애니메이션,주연-왕질악 도사 목소리역(목소리),,,0.0,0.0
