,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,7호실,Room No.7,2017,한국,코미디,조연,2677284639.0,347790.0,2677284639.0,347790.0
1,용순,Yongsoon,2017,한국,드라마,주연,96957200.0,13203.0,98344200.0,13396.0
2,위대한 소원,THE LAST RIDE,2016,한국,"코미디,드라마",주연-남준역,2440004213.0,308398.0,2440004213.0,308398.0
3,무수단,MUSUDAN,2015,한국,"미스터리,스릴러",주연,126155400.0,15882.0,126155400.0,15882.0
4,유령,,2014,한국,기타,조연-양아리역,,,,
5,끝까지 간다,A Hard Day,2013,한국,"액션,스릴러,범죄",조연-도형사역,27007303900.0,3450305.0,27007303900.0,3450305.0
6,굿바이 보이,BOY,2010,한국,드라마,주연-창근역,22900000.0,3053.0,23005000.0,3076.0
7,자네 부인이 건강하길 바라네,I Hope Your Wife Is Well,2010,한국,기타,조연,,,,
8,좋은 밤 되세요,Good Night,2008,한국,"스릴러,드라마",조연,,,,
9,마음이...,Hearty Paws,2006,한국,드라마,조연-짱개역,0.0,1042166.0,4639709300.0,817939.0
10,짝패,The City Of Violence,2006,한국,액션,조연-십대필호역,0.0,1196520.0,6585376300.0,1021638.0
11,여교수의 은밀한 매력,Bewitching Attraction,2006,한국,코미디,조연-어린종두역,0.0,691735.0,3926917300.0,606398.0
12,사랑을 놓치다,Lost In Love,2006,한국,"멜로/로맨스,드라마",조연-조정부학생역,0.0,529138.0,2961686000.0,468225.0
13,"사랑해, 말순씨","Bravo, My Life",2005,한국,드라마,조연-철호역,0.0,406526.0,2191787000.0,349118.0
14,엄마 찾아 삼만리,Goodbye,2005,한국,드라마,주연-종환역,,,,
15,꽃피는 봄이 오면,Springtime,2004,한국,드라마,조연-용석역,0.0,717618.0,3201626000.0,497689.0
16,바람의 전설,Dance With The Wind,2004,한국,드라마,조연-떡볶이 아들역,0.0,266000.0,636285500.0,97925.0
17,말죽거리 잔혹사,Spirit Of Jeet Keun Do - Once Upon A Time In High School,2003,한국,"액션,멜로/로맨스",조연-어린 현수역,0.0,3115767.0,3837152000.0,604969.0
