,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,인랑,ILLANG : THE WOLF BRIGADE,2018,한국,"SF,액션",주연-한상우역,,,6989287673.0,896435.0
1,악인전,,2018,한국,"범죄,액션",주연,,,,
2,기억의 밤,Forgotten,2017,한국,"미스터리,스릴러",주연,10652346660.0,1387599.0,10653271160.0,1387779.0
3,대립군,WARRIORS OF THE DAWN,2017,한국,"드라마,사극",주연,6276963402.0,837500.0,6276963402.0,837500.0
4,멸공의 횃불,The Spy,2017,,,주연,,,,
5,머니백,Snatch Up,2016,한국,"액션,드라마",주연,417495600.0,53610.0,417495600.0,53610.0
6,연평해전,Northern Limit Line,2015,한국,드라마,주연,45563228330.0,6043784.0,45567290830.0,6044956.0
7,개들의 전쟁,"All Bark, No Bite",2012,한국,"액션,드라마,코미디",주연,171302571.0,23390.0,171338571.0,23398.0
8,은교,Eungyo,2012,한국,멜로/로맨스,주연-서지우역,9917728000.0,1346274.0,9919681444.0,1346511.0
9,최종병기 활 감독확장판,War of the Arrows (Director's Cut),2011,한국,"사극,액션",주연,86374000.0,11547.0,86374000.0,11547.0
10,최종병기 활,War of the Arrows,2011,한국,"사극,액션",주연-서군역,55827861500.0,7470633.0,55827861500.0,7470633.0
11,작전,The Scam,2009,한국,"범죄,드라마,스릴러",주연-조민형역,10198304795.0,1534407.0,10086067500.0,1517096.0
