,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,매너선생님,,2016,한국,"코미디,멜로/로맨스",주연-현무역,933000.0,171.0,933000.0,171.0
1,짓2: 붉은 낙타 무삭제판,Death in Desert,2015,한국,멜로/로맨스,주연,4000.0,1.0,4000.0,1.0
2,짓2: 붉은 낙타,Death in Desert,2015,한국,드라마,주연,4292000.0,807.0,4292000.0,807.0
3,미궁: 비밀애 무삭제 특별판,,2015,한국,멜로/로맨스,주연,5000.0,1.0,5000.0,1.0
4,미궁: 비밀애,,2015,한국,"멜로/로맨스,스릴러",주연,2642000.0,513.0,2642000.0,513.0
5,나인틴 : 쉿! 상상금지!,NINETEEN,2015,한국,드라마,주연,,,,
6,만찬,The diner,2012,한국,기타,주연,,,,
7,오빠가 돌아왔다,Total Messed Family,2010,한국,"코미디,드라마",주연,13193000.0,1958.0,13193000.0,1958.0
8,그렇게 웃어주던 니가,You Used to Smile That Way,2009,한국,"드라마,기타",주연-웃는 남자역,,,,
9,7월 32일,July 32nd,2007,한국,드라마,주연-동욱역,4678963.0,754.0,4605500.0,742.0
