,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,곰탱이(가제),,2017,한국,드라마,주연,,,,
1,눈길,Snowy Road,2015,한국,드라마,주연-강영애역,974237100.0,130172.0,975962100.0,130493.0
2,대배우,THE GREAT ACTOR,2015,한국,코미디,단역-까메오역,1245426228.0,169855.0,1246200228.0,169984.0
3,맨홀,Manhole,2014,한국,"공포(호러),스릴러",주연,1084557130.0,133663.0,1084557130.0,133663.0
4,도희야,A Girl at My Door,2014,한국,드라마,주연,830948100.0,106511.0,831731100.0,106658.0
5,만신,MANSHIN: Ten Thousand Spirits,2013,한국,"다큐멘터리,드라마",주연-넘세(유년 김금화)역,271945300.0,36303.0,273755300.0,36535.0
6,이웃사람,The Neighbors,2012,한국,스릴러,주연,18087442369.0,2434099.0,18089332369.0,2434435.0
7,바비,Barbie,2011,한국,드라마,주연-이순영역,17507500.0,2378.0,17771500.0,2416.0
8,나는 아빠다,I Am Father,2010,한국,"액션,드라마",주연,1246420500.0,168049.0,1246420500.0,168049.0
9,아저씨,The Man From Nowhere,2010,한국,"액션,드라마",주연-소미역,47870792359.0,6282774.0,47104059000.0,6178665.0
10,여행자,A Brand New Life,2009,"한국,프랑스",드라마,주연-진희역,135668849.0,18797.0,134318600.0,18617.0
