,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,어른도감,Adulthood,2017,한국,"코미디,드라마",조연,,,4842000.0,538.0
1,초행,The First Lap,2017,한국,드라마,주연,58204900.0,7536.0,58262900.0,7546.0
2,그 후,The Day After,2017,한국,드라마,주연,142319508.0,18648.0,142482508.0,18667.0
3,국경의 왕,The King of the Border,2017,한국,드라마,주연,,,1670400.0,247.0
4,얼굴들,Possible Faces,2017,한국,멜로/로맨스,주연,,,1656000.0,244.0
5,풀잎들,Grass,2017,한국,드라마,주연-지영역,,,,
6,누에치던 방,Jamsil,2016,한국,드라마,주연-여고생/김유영역,19806800.0,2511.0,20810300.0,2679.0
7,걷기왕,Queen of Walking,2016,한국,드라마,조연,710905075.0,95542.0,710905075.0,95542.0
8,"9월 수요단편극장 ""여배우의 힘 - 이상희, 김새벽, 천우희""",,2016,한국,기타,주연-금희 역역,,,262000.0,34.0
9,새들이 돌아오는 시간,Birds fly back to the nest,2016,한국,"드라마,멜로/로맨스",주연-금희역,,,,
10,수요기도회,Wednesday Prayer Group,2016,한국,드라마,주연-소연역,,,,
11,파란입이 달린 얼굴,A Blue Mouthed Face,2015,한국,드라마,주연,7091200.0,1095.0,9111200.0,1484.0
12,설행_눈길을 걷다,Snow Paths,2015,한국,드라마,조연-젊은 테레사수녀역,44019700.0,5930.0,44080200.0,5943.0
13,태양의 아들,Man of Merit,2015,한국,"가족,코미디,드라마",조연-꼭지역,,,,
14,한여름의 판타지아,A Midsummer's Fantasia,2014,"한국,일본",드라마,주연,279921558.0,36055.0,286269458.0,36859.0
15,제보자,The Whistleblower,2014,한국,드라마,단역-연구원2역,13515762802.0,1755181.0,13515762802.0,1755181.0
16,타짜-신의 손,Tazza-The Hidden Card,2014,한국,드라마,단역-탈북여인역,32373120927.0,4015361.0,32373120927.0,4015361.0
17,이것이 우리의 끝이다,Futureless Things,2013,한국,드라마,주연-민희역,21283800.0,2898.0,21451800.0,2926.0
18,만신,MANSHIN: Ten Thousand Spirits,2013,한국,"다큐멘터리,드라마",조연-박씨 아내역,271945300.0,36303.0,273755300.0,36535.0
19,사려 깊은 밤,A Thoughtful Night,2013,한국,드라마,주연,,,,
20,처음이 어렵지,It's difficult the first time,2013,한국,드라마,주연,,,,
21,말로는 힘들어,Hard To Say,2012,한국,드라마,주연,,,797234.0,216.0
22,줄탁동시,Stateless Things,2011,한국,드라마,주연-순희역,24619600.0,3556.0,25386600.0,3694.0
23,써니,Sunny,2011,한국,"드라마,코미디",단역-과거 2학년 3반 반장역,54034235100.0,7362467.0,54038534700.0,7363139.0
