,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,여자전쟁: 비열한 거래,,2016,한국,드라마,주연,1544000.0,292.0,1544000.0,292.0
1,말하지 못한 비밀,Black Idols,2014,한국,드라마,주연-소연역,3720000.0,559.0,4642000.0,742.0
2,욕망의 독: 중독,,2014,한국,"스릴러,드라마,미스터리",주연-지수역,6135000.0,988.0,6135000.0,988.0
3,화려한 외출,Love Lesson,2013,한국,드라마,주연-희수역,13547000.0,5067.0,13547000.0,5067.0
4,소원택시,Secret Travel,2013,한국,"드라마,코미디",주연-지은역,971000.0,283.0,971000.0,283.0
5,화려한 외출 감독판,,2013,한국,드라마,주연,,,,
6,방자전,The Servant,2010,한국,"사극,코미디,멜로/로맨스",조연-청풍각 기수기생역,22853629794.0,3035116.0,22490392000.0,2985556.0
7,정승필 실종사건,The Weird Missing Case Of Mr.J,2009,한국,코미디,조연-여경역,2321588076.0,322459.0,2296093000.0,318852.0
8,당신이 잠든 사이에,What Happened Last Night,2008,한국,코미디,조연-승용차 유혹녀역,448114500.0,67626.0,448246500.0,67659.0
9,"좋은 놈, 나쁜 놈, 이상한 놈","The Good, The Bad, And The Weird",2008,한국,"서부극(웨스턴),액션,어드벤처",조연-아편굴 여급역,43768628939.0,6686912.0,43755789000.0,6686054.0
10,우리 아버지는 간첩입니다,My Father Is A Spy,2002,한국,코미디,주연-김선영역,,,,
11,광대버섯,Amanita Muscaria,1999,한국,드라마,주연-안나역,,,,
