,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,미성년,,2018,한국,드라마,"감독,주연,시나리오(각본)",,,,
1,암수살인,,2018,한국,"범죄,드라마",주연,,,,
2,1987,1987: When the Day Comes,2017,한국,드라마,주연,58166310145.0,7231770.0,58166910145.0,7231830.0
3,남한산성,The Fortress,2017,한국,"사극,드라마",주연,31225083792.0,3849087.0,31225419792.0,3849129.0
4,"당신, 거기 있어줄래요",Will You Be There?,2016,한국,"판타지,드라마",주연,9361133648.0,1168625.0,9362086648.0,1168782.0
5,검은 사제들,The Priests,2015,한국,"미스터리,드라마",주연,42407832092.0,5442553.0,42410940592.0,5443049.0
6,극비수사,The Classified File,2014,한국,"드라마,범죄",주연-공길용역,22389535897.0,2860786.0,22389535897.0,2860786.0
7,쎄시봉,C'est Si Bon,2014,한국,"멜로/로맨스,코미디,드라마",주연,13570381911.0,1714803.0,13571515911.0,1715370.0
8,타짜-신의 손,Tazza-The Hidden Card,2014,한국,드라마,주연-아귀 역,32373120927.0,4015361.0,32373120927.0,4015361.0
9,해무(海霧),Haemoo,2014,한국,드라마,주연,11706502519.0,1475472.0,11707382519.0,1475582.0
10,화이: 괴물을 삼킨 아이,Hwayi: A Monster Boy,2013,한국,"액션,스릴러",주연-석태역,17695516795.0,2394466.0,17695683795.0,2394487.0
11,남쪽으로 튀어,South Bound,2012,한국,"코미디,드라마","주연-최해갑역,시나리오(각본)-시나리오",5970851500.0,832894.0,5970851500.0,832894.0
12,도둑들,The Thieves,2012,"한국,홍콩","액션,범죄",주연-마카오박역,93665568500.0,12983330.0,93667250500.0,12983841.0
13,도둑들 영화를 만들다,,2012,한국,"드라마,다큐멘터리",주연-마카오박역,,,,
14,완득이,Punch,2011,한국,드라마,주연-동주 역,38530503500.0,5310510.0,38533831000.0,5311353.0
15,황해,The Yellow Sea,2010,"한국,미국,중국","스릴러,액션,범죄",주연-면정학역,16765970362.0,2167426.0,17497165500.0,2260512.0
16,전우치,Woochi,2009,한국,"액션,코미디,판타지",주연-화담역,44605437017.0,6136928.0,44093407200.0,6065474.0
17,거북이 달린다,Running Turtle,2009,한국,"드라마,액션,범죄",주연-조필성역,20857347292.0,3059812.0,20618276000.0,3024666.0
18,추격자,The Chaser,2008,한국,"범죄,스릴러,액션","주연-전직 형사, 엄중호역",33943278500.0,5071619.0,33986959000.0,5046096.0
19,즐거운 인생,The Happy Life,2007,한국,드라마,주연-성욱역,0.0,1263835.0,7874566500.0,1202719.0
20,타짜,Tazza: The High Rollers,2006,한국,드라마,조연-아귀역,0.0,6847777.0,36182617500.0,5685715.0
21,천하장사 마돈나,Like A Virgin,2006,한국,"드라마,코미디",조연-동구 아버지역,0.0,678930.0,3552450700.0,575373.0
22,야수,Running Wild,2005,한국,액션,주연-주현태역,0.0,1016152.0,5339725500.0,837011.0
23,파랑주의보,My Girl and I,2005,한국,드라마,조연-생물 선생님역,0.0,328538.0,1453890000.0,237284.0
24,내 생애 가장 아름다운 일주일,All For Love,2005,한국,멜로/로맨스,주연-동만 역,0.0,2533103.0,14710541000.0,2290709.0
25,시실리 2km,To Catch A Virgin Ghost,2004,한국,코미디,주연-학규역,0.0,1987380.0,8049487000.0,1263196.0
26,범죄의 재구성,The Big Swindle,2004,한국,스릴러,주연-이형사역,0.0,2129358.0,6133498700.0,942303.0
27,울랄라씨스터즈,Oh! Lala Sisters,2002,한국,코미디,주연-사채퀵역,,245970.0,,
28,베사메무쵸,Besa Me Mucho,2001,한국,드라마,주연-집배달원1역,0.0,245455.0,,
29,어린 연인,Young Lover,1994,한국,"드라마,멜로/로맨스",주연,0.0,9699.0,,
