,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,잡아야 산다,Chasing,2015,한국,"코미디,액션",주연,415009400.0,55011.0,415009400.0,55011.0
1,헬머니,Granny's Got Talent,2014,한국,코미디,주연,4120166972.0,522929.0,4122996972.0,523871.0
2,내 심장을 쏴라,Shoot Me in the Heart,2014,한국,드라마,조연,2856859132.0,387409.0,2856859132.0,387409.0
3,소녀괴담,Mourning Grave,2014,한국,"미스터리,공포(호러)",조연,3554806054.0,481696.0,3554806054.0,481696.0
4,깡철이,Tough As Iron,2013,한국,"드라마,액션,가족",조연-상곤 역,8572344462.0,1209363.0,8572344462.0,1209363.0
5,세계일주,The Trip Around the World (W/T),2012,한국,"가족,어드벤처",주연-현배역,32479400.0,4449.0,32479400.0,4449.0
6,남자사용설명서,How to Use Guys with Secret Tips,2012,한국,"코미디,멜로/로맨스",조연-우성철역,3606480257.0,507890.0,3606654257.0,507913.0
7,7번방의 선물,Miracle in Cell No.7,2012,한국,"코미디,드라마",주연-만범역,91431914670.0,12811206.0,91433282670.0,12811435.0
8,박수건달,Man on the Edge,2012,한국,코미디,주연-태주역,28379548569.0,3897969.0,28379548569.0,3897969.0
9,슈퍼스타,Super Star,2011,한국,"코미디,드라마",주연-태욱역,11269400.0,1570.0,11304400.0,1575.0
10,간기남,The Scent,2011,한국,"코미디,스릴러",주연-서형사역,9356404500.0,1246185.0,9356404500.0,1246185.0
11,특수본,S.I.U.,2011,한국,"액션,범죄",주연-박경식 역,8096052500.0,1118258.0,8096052500.0,1118258.0
12,체포왕,Officer of the Year,2011,한국,"코미디,액션",주연,6413325500.0,870887.0,6413325500.0,870887.0
13,방가? 방가!,He's on Duty,2010,한국,"코미디,드라마",주연-용철역,7129363141.0,989021.0,7013842000.0,972431.0
14,마음이2,Hearty paws2,2010,"한국,중국",드라마,주연-두필역,4705692210.0,707748.0,4631432000.0,696382.0
15,나를 잊지 말아요,Remember O Goddess,2010,한국,멜로/로맨스,주연,,,18000.0,2.0
16,영도 다리,I Came From Busan,2009,한국,드라마,주연-입양직원역,11698676.0,1706.0,11605000.0,1693.0
17,무방비도시,Open City,2007,한국,"범죄,액션",조연-도범계장역,10591349944.0,1613728.0,10591149500.0,1600856.0
18,해바라기,Sunflower,2006,한국,"액션,드라마,가족,범죄",조연,0.0,1543429.0,7835485400.0,1305024.0
19,강력 3반,Never to Lose,2005,한국,액션,조연,0.0,989573.0,5053205500.0,828112.0
20,우리 형,My Brother,2004,한국,드라마,조연-쫄바지역,0.0,2479585.0,11090682500.0,1778607.0
21,내 여자친구를 소개합니다,Windstruck,2004,한국,"멜로/로맨스,드라마",조연-김영호역,0.0,2199359.0,8329341500.0,1298666.0
22,똥개,Mutt Boy,2003,한국,드라마,주연,0.0,1394000.0,,
23,밀애,Ardor,2002,한국,드라마,조연-동욱역,,144603.0,132000.0,22.0
24,친구,Friend,2001,한국,드라마,주연,0.0,2678846.0,,
