,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,탐정: 리턴즈,The Accidental Detective 2: In Action,2018.0,한국,"코미디,범죄",조연,22895877220.0,2677442.0,26909481678.0,3152872.0
1,기억의 밤,Forgotten,2017.0,한국,"미스터리,스릴러",조연-최교수역,10652346660.0,1387599.0,10653271160.0,1387779.0
2,침묵,Heart Blackened,2017.0,한국,드라마,단역-대표변호사역,3930219264.0,494097.0,3930219264.0,494097.0
3,더 킹,The King,2016.0,한국,"범죄,드라마",조연-김민재역,43486078535.0,5316325.0,43488814535.0,5317693.0
4,우리집,Home Sweet Home,2016.0,한국,"가족,코미디,드라마",주연-영창역,,,,
5,필름시대사랑,Love and...,2015.0,한국,드라마,조연-노인역,12686000.0,1611.0,12686000.0,1611.0
6,용산 나이트,Yongsan Night,2015.0,한국,코미디,주연,,,,
7,장수상회,Salut d’Amour,2014.0,한국,"멜로/로맨스,드라마",조연-노신사역,8729412643.0,1163575.0,8739586643.0,1166151.0
8,쿼바디스,Quo Vadis,2014.0,한국,다큐멘터리,주연,155635500.0,20731.0,155635500.0,20731.0
9,제보자,The Whistleblower,2014.0,한국,드라마,조연-유종진 교수역,13515762802.0,1755181.0,13515762802.0,1755181.0
10,네버다이 버터플라이,Neverdie Butterfly,2013.0,한국,드라마,단역-명호아버지역,11002000.0,1571.0,11128000.0,1585.0
11,내 아내의 모든 것,All About My Wife,2012.0,한국,"코미디,멜로/로맨스",단역-이혼법정 담당자역,34222160500.0,4598583.0,34224467500.0,4598985.0
12,도가니,Silenced,2011.0,한국,드라마,조연-김정우 교수역,35566854800.0,4662822.0,35567476000.0,4662926.0
13,"미안해, 고마워",Sorry and Thank You,2011.0,한국,드라마,주연,73843000.0,9998.0,73935000.0,10011.0
14,섹스 볼란티어,Sex Volunteer,2009.0,한국,"드라마,다큐멘터리",주연-남명렬역,,,,
15,서양 골동 양과자점 앤티크,Antique,2008.0,한국,드라마,조연-천 사장역,7367880833.0,1173310.0,7420479500.0,1181332.0
16,모노폴리,Monopoly,2006.0,한국,범죄,단역-김회장역,0.0,394935.0,2195709100.0,358299.0
17,인형사,The Doll Master,2004.0,한국,공포(호러),조연-중년남역,0.0,339038.0,1324401000.0,214709.0
18,쉬리,Swiri,1999.0,한국,"액션,드라마,멜로/로맨스,미스터리",조연-관호역,0.0,5820000.0,,
19,고마워 미안해,,,한국,드라마,주연,,,,
