,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,수성못,Duck Town,2017,한국,"드라마,코미디",주연,27778900.0,3717.0,27873900.0,3731.0
1,계춘할망,Canola,2016,한국,"가족,드라마",조연-충희역,3599680348.0,482259.0,3602649348.0,482784.0
2,사돈의 팔촌,Kissing Cousin,2015,한국,"멜로/로맨스,드라마","단역-태부역,촬영팀",8140700.0,1159.0,8140700.0,1159.0
3,시간이탈자,Time Renegades,2015,한국,스릴러,단역-중국집 남학생1 역,9731838195.0,1202384.0,9731838195.0,1202384.0
4,막걸스,Makgeolli Girls,2013,한국,코미디,조연-꽁치역,15993500.0,2410.0,15993500.0,2410.0
5,18: 우리들의 성장 느와르,18 - Eighteen Noir,2013,한국,드라마,조연-덕화역,8717000.0,1124.0,8717000.0,1124.0
6,플랜맨,The Plan Man,2013,한국,드라마,단역-오타쿠 관객역,4547866558.0,635740.0,4547866558.0,635740.0
7,화려한 외출,Love Lesson,2013,한국,드라마,조연-범수역,13547000.0,5067.0,13547000.0,5067.0
8,네버다이 버터플라이,Neverdie Butterfly,2013,한국,드라마,조연-두부역,11002000.0,1571.0,11128000.0,1585.0
9,밤의 여왕,Queen of the Night,2013,한국,"멜로/로맨스,코미디",단역-어린 성우역,1762892500.0,252475.0,1762892500.0,252475.0
10,명왕성,PLUTO,2012,한국,"드라마,스릴러",조연-최보람역,114536500.0,16828.0,114740500.0,16866.0
11,가문의 영광5 - 가문의 귀환,Return of The Mafia,2012,한국,코미디,단역-동석 패거리 1 역,8330342500.0,1160021.0,8330342500.0,1160021.0
12,떠날 수 없는,Can't Go Up There,2011,한국,드라마,조연-덩치 후임역,,,,
13,포화속으로,71-Into The Fire,2010,한국,"드라마,전쟁",단역-학도병역,24217600897.0,3385706.0,23831968600.0,3330326.0
