,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,호프 로스트,Hope Lost,2015,이탈리아,스릴러,주연,5000.0,1.0,5000.0,1.0
1,리무브드,The Removed,2012,미국,"액션,공포(호러),스릴러",주연,,,,
2,더러운 비밀,Water's Edge,2003,독일,"드라마,스릴러",주연-메이어 역역,,,,
3,터널,Tunnel,2002,미국,스릴러,"감독,주연",,,,
4,벌거벗은 증인,Bare Witness,2001,미국,스릴러,주연,,,,
5,페어 게임 2,In Pursuit,2000,미국,"스릴러,액션,드라마",주연,,,,
6,폴,Fall,2000,캐나다,액션,"감독,주연",,,,
7,슬레이어,John Carpenter'S In The Mouth Of Madness,1999,미국,"액션,스릴러,공포(호러)",주연,0.0,26201.0,290000.0,45.0
8,데저트 썬더,Desert Thunder,1999,미국,"액션,드라마",주연,,,,
9,백 슬라이더,Active Stealth,1999,미국,"액션,범죄",주연,,,,
10,실리콘 타워,Silicon Towers,1999,미국,"액션,스릴러",주연,,,,
11,온 더 보더,On The Border,1998,미국,"범죄,드라마,스릴러",주연,,,,
12,판도라 프로젝트,The Pandora Project,1998,미국,"액션,스릴러",주연,,,,
13,인베이더,The Invader,1996,미국,"SF,액션,스릴러",주연,0.0,1087.0,,
14,예스터데이 타겟,Yesterday's Target,1996,미국,SF,주연,0.0,702.0,,
15,육체의 행로,BODILY HARM,1995,미국,스릴러,주연,0.0,1118.0,,
16,목격자,Dead On Sight,1994,미국,스릴러,주연,,,,
