,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,엔테베 작전,7 Days in Entebbe,2018,"미국,영국","범죄,드라마,스릴러",주연,48130200.0,6000.0,48130200.0,6000.0
1,주키퍼스 와이프,The Zookeeper's wife,2017,"미국,영국","드라마,전쟁",주연-헥역,90190446.0,11795.0,90748446.0,11888.0
2,더 셰프,Burnt,2015,미국,드라마,주연,1487172148.0,187122.0,1487412148.0,187152.0
3,우먼 인 골드,Woman in Gold,2015,"미국,영국",드라마,주연,1109776800.0,144154.0,1111546800.0,144744.0
4,콜로니아,Colonia Dignidad,2015,"독일,룩셈부르크,프랑스",스릴러,주연,,,,
5,룸메이트 살인사건: 둘만의 방,The Face Of An Angel,2014,영국,드라마,주연,,,308000.0,31.0
6,러시 : 더 라이벌,Rush,2013,미국,"액션,드라마",주연,931998000.0,126994.0,932342000.0,127037.0
7,제5계급,The Fifth Estate,2013,미국,드라마,주연,,,,
8,카지노를 털어라,Winning Streak,2012,스페인,"드라마,어드벤처,범죄",주연-이반역,221000.0,44.0,221000.0,44.0
9,세븐 데이즈 인 하바나,7 Days in Havana,2012,"프랑스,스페인",드라마,주연,,,,
10,에바 : 위험한 관계,Eva,2011,스페인,"판타지,드라마",주연-알렉스 역역,,,,
11,인트루더스,Intruders,2011,"미국,스페인,영국","공포(호러),스릴러",조연-안토니오 역,,,,
12,존 라베 : 난징 대학살,John Rabe,2009,독일,"전쟁,드라마",주연,7203500.0,1184.0,7203500.0,1184.0
13,릴라 릴라,Lila Lila,2009,독일,"코미디,멜로/로맨스",주연-다비드 역,26583400.0,3331.0,27317400.0,3485.0
14,라벤더의 연인들,Ladies In Lavender,2004,영국,"드라마,미스터리,멜로/로맨스",주연-안드레아 역,49912500.0,7414.0,52670500.0,7850.0
15,에쥬케이터,The Edukators,2004,독일,드라마,주연,0.0,2609.0,14741000.0,2232.0
16,굿바이 레닌,Good Bye Lenin!,2003,독일,"드라마,코미디",주연,0.0,14595.0,1041000.0,195.0
