,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,로건 럭키,Logan Lucky,2017,미국,"코미디,범죄,드라마,액션",주연-조 뱅역,180242600.0,23339.0,180226600.0,23336.0
1,007 스펙터,Spectre,2015,"영국,미국","액션,어드벤처,범죄,스릴러",주연,14302132030.0,1820842.0,14302132030.0,1820842.0
2,007 스카이폴,SKYFALL,2011,"미국,영국",액션,주연,17487213000.0,2376145.0,17487818000.0,2376266.0
3,밀레니엄 : 여자를 증오한 남자들,The Girl With The Dragon Tattoo,2011,"미국,스웨덴,영국,독일","스릴러,드라마",주연,3504509000.0,443889.0,3504237000.0,443855.0
4,틴틴 : 유니콘호의 비밀,Adventure of Tintin: The Secret of the Unicorn,2011,"미국,뉴질랜드,벨기에","애니메이션,가족,어드벤처",주연,6737564500.0,815991.0,6737564500.0,815991.0
5,원라이프,One Life,2011,영국,다큐멘터리,주연(목소리),163408600.0,24348.0,163408600.0,24348.0
6,카우보이 & 에이리언,Cowboys & Aliens,2011,미국,"액션,SF,스릴러",주연-제이크 역,1930249000.0,256346.0,1930249000.0,256346.0
7,드림 하우스,Dream House,2011,미국,"드라마,스릴러",주연,,,1140800.0,213.0
8,"아이, 루시퍼","I, Lucifer",2009,영국,"코미디,판타지",주연,,,,
9,디파이언스,Defiance,2008,미국,"드라마,전쟁",주연,1551731322.0,232532.0,1528139000.0,229157.0
10,007 퀀텀 오브 솔러스,Quantum Of Solace,2008,미국,"액션,어드벤처",주연,14366688333.0,2201300.0,14389322000.0,2205160.0
11,다니엘 크레이그의 플래시백,Flashbacks Of A Fool,2008,영국,드라마,주연,,,293000.0,44.0
12,황금 나침반,His Dark Materials: The Golden Compass,2007,미국,"판타지,드라마,액션,어드벤처",주연,,2979838.0,18336681000.0,2906958.0
13,인베이젼,The Invasion,2007,미국,"SF,공포(호러),스릴러",주연,0.0,520800.0,3732360000.0,556157.0
14,007 카지노 로얄,Casino Royale,2006,미국,액션,주연-제임스 본드역,0.0,1088307.0,6267161700.0,1012085.0
15,르네상스,Renaissance,2006,"프랑스,영국,룩셈부르크","애니메이션,액션,SF",주연(목소리),,,,
16,뮌헨,Munich,2005,미국,"스릴러,드라마,범죄",주연-스티브 역,0.0,817155.0,4861581300.0,763078.0
17,아크엔젤,Archangel,2005,영국,"범죄,드라마,미스터리,스릴러",주연,,,,
18,레이어 케이크,Layer Cake,2004,영국,"드라마,액션,범죄",주연,0.0,1379.0,9532000.0,1377.0
19,사랑을 견뎌내기,Enduring Love,2004,영국,"드라마,스릴러",주연,,,,
20,마더,The Mother,2003,영국,드라마,주연,0.0,2354.0,15902800.0,2384.0
21,실비아,Sylvia,2003,영국,드라마,주연,0.0,3464.0,29280000.0,4372.0
22,사랑의 목소리,Some Voices,2000,영국,"코미디,드라마",주연,,,,
23,호텔 스플렌디드,Hotel Splendide,2000,"프랑스,영국",코미디,주연,,,,
24,러브 앤 레이지,Love & Rage,1998,"아일랜드,영국,독일",드라마,주연-제임스 역역,,,,
25,사랑의 악마,Love Is The Devil,1998,"영국,프랑스,일본",드라마,주연,,,320000.0,32.0
