,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,"스탠바이, 웬디",Please Stand By,2017,미국,드라마,주연,369395680.0,46627.0,373858080.0,47263.0
1,브림스톤,Brimstone,2016,"네덜란드,프랑스,독일,벨기에,스웨덴,영국","미스터리,스릴러,서부극(웨스턴)",주연,,,6600.0,1.0
2,아메리칸 패스토럴,American Pastoral,2016,미국,"가족,드라마",주연,18127900.0,2412.0,18136900.0,2413.0
3,뷰티풀 프래니,The Benefactor,2015,미국,드라마,주연,43842600.0,5821.0,43967600.0,5937.0
4,모든 비밀스러운 것들,Every Secret Thing,2014,미국,스릴러,주연,44937000.0,6507.0,44937000.0,6507.0
5,옐로우버드,Yellowbird,2013,프랑스,"애니메이션,가족",주연(목소리),139064300.0,18020.0,146918300.0,18900.0
6,베리 굿 걸,Very Good Girls,2013,미국,"멜로/로맨스,드라마",주연,777703345.0,103625.0,777703345.0,103625.0
7,어둠 속에서,Night Moves,2013,미국,"드라마,스릴러",주연,,,184000.0,36.0
8,모텔 라이프,The Motel Life,2012,미국,"드라마,미스터리,스릴러",주연,270000.0,54.0,270000.0,54.0
9,브레이킹 던 part2,The Twilight Saga: Breaking Dawn Part 2,2012,미국,"드라마,판타지,멜로/로맨스",주연,18909583065.0,2654817.0,18909583065.0,2654817.0
10,나우이즈굿,Now is Good,2012,영국,"드라마,멜로/로맨스",주연,503863000.0,73421.0,503863000.0,73421.0
11,런어웨이즈,The Runaways,2010,미국,드라마,주연,111779483.0,15088.0,110139500.0,14863.0
12,푸시,Push,2009,미국,"SF,스릴러,드라마",주연-캐시 홈즈역,4817364578.0,726998.0,4742733000.0,715887.0
13,코렐라인: 비밀의 문,Coraline,2008,미국,"애니메이션,가족,판타지,어드벤처,드라마",주연-코렐라인 존스 역(목소리),1448857479.0,222594.0,1427440000.0,219307.0
14,벌들의 비밀생활,The Secret Life of Bees,2008,미국,드라마,주연,,,,
15,윙드 크리처스,Winged Creatures,2008,미국,"범죄,드라마",주연,,,,
16,하운드독,Hounddog,2007,미국,드라마,주연,,,,
17,샬롯의 거미줄,Charlotte`S Web,2006,미국,"드라마,코미디,가족",주연,0.0,334460.0,1708833500.0,308740.0
18,나인 라이브즈,9 Lives,2005,미국,드라마,주연-마리아역,0.0,2245.0,17172900.0,2574.0
19,드리머,Dreamer: Inspired By A True Story,2005,미국,드라마,주연-케일 크레인역,0.0,305993.0,1706200100.0,276760.0
20,우주전쟁,War Of The Worlds,2005,미국,"드라마,액션,SF,스릴러",주연-레이첼 페리어 역,0.0,3223000.0,16759599690.0,2643153.0
21,숨바꼭질,Hide And Seek,2004,미국,"드라마,공포(호러),스릴러",주연,0.0,779200.0,4386066000.0,688900.0
22,맨 온 파이어,Man On Fire,2004,미국,액션,주연,0.0,480040.0,1984024500.0,307751.0
23,인 더 렘스 오브 더 언리얼,In The Realms Of The Unreal,2004,미국,다큐멘터리,주연-나레이터 역(목소리),,,,
24,업타운 걸,Uptown Girls,2003,미국,코미디,주연,,,,
