,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,프레셔,Pressure,2015,영국,"공포(호러),스릴러",주연,10000.0,1.0,10000.0,1.0
1,프랑켄슈타인,Frankenstein,2015,미국,"공포(호러),스릴러",주연,,,,
2,더 콩그레스,The Congress,2013,"이스라엘,독일,폴란드,룩셈부르크,프랑스,벨기에","애니메이션,SF,판타지",주연,9105000.0,1301.0,9203000.0,1315.0
3,타이탄의 분노,Wrath Of The Titans,2012,미국,"액션,판타지",주연-포세이돈 역,7591124500.0,893027.0,7591124500.0,893027.0
4,워리어스 웨이,Warrior's Way,2010,미국,"액션,판타지",주연,3134328730.0,437101.0,3097461500.0,432072.0
5,어둠 속으로 사라지다,Fade To Black,2006,"영국,이탈리아","미스터리,스릴러",주연,,,,
6,실버시티,Silver City,2004,미국,"코미디,드라마,미스터리",주연,,,,
7,이든,Eden,2001,"프랑스,이스라엘,이탈리아","드라마,멜로/로맨스,전쟁",주연,,,,
8,꼴레뜨,Becoming Colette,1991,미국,드라마,감독,0.0,10771.0,,
9,기적의 노츠,Mr. North,1988,미국,"코미디,드라마",감독,,,,
