,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,런던 타운,London Town,2016,미국,드라마,주연,2425400.0,423.0,2753400.0,471.0
1,라스트패신저,Last Passenger,2013,영국,"액션,스릴러,미스터리",주연,,,,
2,호세마리아 신부의 길,There Be Dragons,2011,"미국,아르헨티나,스페인",드라마,주연,13931000.0,2274.0,14169000.0,2347.0
3,히트맨,Hitman,2007,미국,"액션,범죄",주연,0.0,170240.0,1096259000.0,164014.0
4,퍼펙트 크리쳐,Perfect Creature,2006,"뉴질랜드,영국","공포(호러),액션,드라마,판타지",주연-사일러스 역 역,,,,
5,다크 워터,Dark Water,2005,미국,"공포(호러),스릴러",주연,,,,
6,어바웃 러브,The Truth About Love,2004,영국,드라마,주연,0.0,356638.0,2072004000.0,318358.0
7,투 킬 어 킹,To Kill a King,2003,"영국,독일",드라마,주연,,,,
8,에니그마,Enigma,2001,"미국,독일,영국","드라마,미스터리,멜로/로맨스",주연,,,,
9,미션 임파서블 2,Mission Impossible2,2000,미국,"액션,스릴러",조연-숀 엠브로즈역,0.0,1230633.0,,
10,요정나라 대모험,Faeries,1999,영국,"애니메이션,어드벤처",주연(목소리),,,,
11,트윈타운,Twin Town,1997,영국,드라마,조연,,,,
