,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,아이 캔 온리 이매진,I Can Only Imagine,2018,미국,"드라마,가족",주연,150592300.0,17987.0,179752600.0,21737.0
1,트루스,Truth,2015,미국,드라마,조연,151967000.0,19315.0,152153000.0,19340.0
2,더 스토리: 세상에 숨겨진 사랑,The Words,2012,미국,"드라마,스릴러,멜로/로맨스",주연-클레이역,267561500.0,36849.0,268881500.0,37025.0
3,소울 서퍼,Soul Surfer,2011,미국,드라마,주연,,,426000.0,117.0
4,언더 다크니스,Beneath The Darkness,2011,미국,"공포(호러),스릴러",주연,,,,
5,풋루즈,Footloose,2011,미국,"뮤지컬,드라마",주연-숀 무어 목사 역역,,,,
6,리전,Legion,2010,미국,"액션,판타지,스릴러",조연-밥 핸슨역,,,,
7,팬도럼,Pandorum,2009,"독일,영국","액션,공포(호러),SF,스릴러",주연-페이튼 역,1241613605.0,163494.0,1223107000.0,161070.0
8,지.아이.조 : 전쟁의 서막,G.I. Joe: The Rise of Cobra,2009,미국,액션,주연-호크 장군 역,19889126096.0,2706748.0,19583593500.0,2665886.0
9,호스맨,Horsemen,2009,미국,"범죄,미스터리,스릴러",주연,,,,
10,스마트 피플,Smart People,2008,미국,"코미디,멜로/로맨스",주연,314975000.0,45818.0,314919000.0,45810.0
11,밴티지 포인트,Vantage Point,2008,미국,"스릴러,드라마,액션",주연-토마스 반즈 역,6654718499.0,1015287.0,6679552000.0,1007729.0
12,더 익스프레스,The Express : The Ernie Davis Story,2008,"미국,독일",드라마,주연,,,,
13,미트 로프 - 천국을 찾아서,Meat Loaf: In Search Of Paradise,2007,미국,다큐멘터리,주연,,,,
14,"나,너 그리고 우리","Yours, Mine And Ours",2006,미국,"멜로/로맨스,드라마,코미디,가족",주연,0.0,120.0,846500.0,121.0
15,아메리칸 드림즈,American Dreamz,2006,미국,코미디,주연,,,,
16,인 굿 컴퍼니,In Good Company,2004,미국,"코미디,드라마",주연,0.0,200393.0,1212450000.0,185406.0
17,피닉스,Flight Of The Phoenix,2004,미국,액션,주연,0.0,76700.0,332452000.0,51901.0
18,투모로우,The Day After Tomorrow,2004,미국,SF,주연,0.0,3006400.0,11658584500.0,1830767.0
19,알라모,The Alamo,2004,미국,"서부극(웨스턴),드라마,전쟁",주연,,,,
20,콜드 크릭,Cold Creek Manor,2003,미국,스릴러,주연,0.0,104.0,,
21,파 프롬 헤븐,Far From Heaven,2003,프랑스,"드라마,멜로/로맨스",주연,0.0,49691.0,158000.0,34.0
22,루키,The Rookie,2002,미국,드라마,주연,0.0,10357.0,,
23,프리퀀시,Frequency,2000,미국,"범죄,드라마,SF,스릴러",주연-프랭크 설리반역,0.0,39595.0,,
24,애니 기븐 선데이,Any Given Sunday,1999,미국,드라마,주연-잭 캡 루니역,0.0,66220.0,,
25,갱 릴레이션,Gang Related,1999,미국,"범죄,드라마",주연,0.0,888.0,,
26,세이비어,Savior,1998,미국,"드라마,전쟁",주연,0.0,7765.0,,
27,페어런트 트랩,The Parent Trap,1998,미국,"가족,멜로/로맨스,코미디",주연,,,,
28,드래곤 하트,Dragon Heart,1996,미국,"판타지,액션,어드벤처",주연,0.0,81837.0,,
29,줄리아 로버츠의 사랑게임,Something To Talk About,1995,미국,"드라마,멜로/로맨스,코미디",주연,0.0,24910.0,,
30,와이어트 어프,Wyatt Earp,1994,미국,서부극(웨스턴),주연,0.0,39464.0,,
31,첩보원 가족,Undercover Blues,1993,미국,"가족,코미디",주연,0.0,17673.0,,
32,악몽,Flesh And Bone,1993,미국,"드라마,미스터리",주연,,,,
33,와일더 네이팜,Wilder Napalm,1993,미국,"코미디,판타지",주연,,,,
34,열정의 록큰롤,Great Balls of Fire,1989,미국,드라마,주연,,,264000.0,49.0
35,죠스 3,Jaws 3-D,1983,미국,"공포(호러),스릴러",주연,,,,
36,브레이킹 어웨이,Breaking Away,1979,미국,"가족,드라마,코미디",주연,0.0,167892.0,,
