,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,맘마미아!2,MAMMA MIA! HERE WE GO AGAIN,2018,미국,뮤지컬,주연,,,10405491188.0,1218382.0
1,워크래프트: 전쟁의 서막,Warcraft,2016,미국,"액션,어드벤처,판타지",주연,10142271205.0,1163274.0,10142271205.0,1163274.0
2,스트라튼,Stratton,2016,영국,"액션,스릴러",주연,,,,
3,미스 유 올레디,Miss You Already,2015,영국,드라마,주연,36295200.0,4885.0,36295200.0,4885.0
4,드라큘라: 전설의 시작,Dracula Untold,2014,미국,"판타지,액션",주연,10607703908.0,1321751.0,10607703908.0,1321751.0
5,니드 포 스피드,Need for Speed,2014,미국,"액션,범죄,드라마,스릴러",주연,835859900.0,105340.0,835859900.0,105340.0
6,리저너블 다우트,Reasonable Doubt,2013,독일,"범죄,스릴러",주연,9510500.0,1435.0,9510500.0,1435.0
7,퍼펙트,Dead man down,2013,미국,"액션,범죄,드라마",조연-다시역,118503500.0,18179.0,118503500.0,18179.0
8,섬머 인 페브러리,Summer in February,2013,영국,"드라마,멜로/로맨스",주연-AJ 머닝스역,,,,
9,링컨: 뱀파이어 헌터,Abraham Lincoln: Vampire Hunter,2012,미국,"액션,스릴러,공포(호러)",주연,2750911500.0,344876.0,2753130000.0,345175.0
10,데블스 더블,The Devil's Double,2011,미국,"액션,스릴러,드라마",주연,9537500.0,1397.0,9537500.0,1397.0
11,언 애듀케이션,An Education,2009,영국,드라마,주연,21358842.0,2794.0,21023500.0,2750.0
