,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,성범죄 수사대,SDU: Sex Duties Unit,2013,중국,"액션,코미디",주연,2850000.0,1407.0,2850000.0,1407.0
1,저속희극,Vulgaria,2012,홍콩,"코미디,드라마",주연,10760000.0,5085.0,10920000.0,5105.0
2,동문,Rebellion,2009,홍콩,"액션,범죄",주연,,,,
3,대수사지녀,Lady Cop & Papa Crook,2008,"홍콩,중국","스릴러,코미디,액션",주연,,,,
4,이사벨라,Isabella,2006,홍콩,"멜로/로맨스,범죄",주연-싱역,0.0,1254.0,5628000.0,901.0
5,정의아심지,Moonlight In Tokyo,2005,홍콩,코미디,주연,,,,
6,묵두선생,Escape From Hong Kong Island,2004,홍콩,"코미디,드라마",주연,,,,
7,신교육귀,The Attractive One,2004,홍콩,"코미디,멜로/로맨스",주연,,,,
8,육장사,The Sixth Strong Guys,2004,홍콩,코미디,주연,,,,
9,정장추녀자 2004,Love Is a Many Stupid Thing,2004,홍콩,코미디,주연,,,,
10,대장부,Men Suddenly In Black,2003,,,주연,,,,
11,유인설애아,Never Say Goodbye,2001,홍콩,"코미디,멜로/로맨스",주연,,,,
12,화폭형경,Violent Cop,2000,홍콩,"액션,범죄,스릴러",주연,,,,
