,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,호수괴물,Lake eerie,2016,미국,"공포(호러),스릴러",주연,8000.0,1.0,8000.0,1.0
1,데이라이트 엔드: 인류멸망의 날,Daylight's end,2016,미국,"액션,판타지,공포(호러)",주연,,,,
2,하빈저 다운,Harbinger Down,2015,미국,"SF,공포(호러),스릴러",주연,,,,
3,가름워즈: 마지막 예언자,Garm Wars: The Last Druid,2014,"일본,캐나다","액션,SF,스릴러",주연,9978500.0,1359.0,10014500.0,1363.0
4,에일리언 라이징,Alien Rising,2014,미국,"액션,SF",주연,200000.0,40.0,200000.0,40.0
5,데드워터,Deadwater,2008,미국,"액션,공포(호러),스릴러",주연-존 윌레츠 역역,,,,
6,스파이더 웹,In the Spider's Web,2007,미국,공포(호러),주연-Dr. 레코퍼스 역역,,,,
7,다빈치 트레져,The Da Vinci Treasure,2006,미국,어드벤처,주연,5000.0,1.0,5000.0,1.0
8,에이리언 VS 프레데터,Alien Vs. Predator,2004,미국,SF,주연,0.0,304360.0,1151500000.0,180626.0
9,화이널 디씨젼 2,Rapid Exchange,2003,미국,"액션,어드벤처",주연,,,,
10,언스피커블,Unspeakable,2002,미국,"스릴러,공포(호러)",주연,,,,
11,언톨드,The Untold,2002,캐나다,"액션,어드벤처,스릴러",주연,,,,
12,제임스 카메론의 비스마르크호의 비밀,Expedition : Bismarck,2002,미국,다큐멘터리,주연(목소리),,,,
13,로스트 보이지,Lost Voyage,2001,미국,"공포(호러),미스터리,스릴러",주연,,,,
14,맹글러 2,Mangler 2,2001,캐나다,공포(호러),주연,,,,
15,데드 맨,Dead Man,1995,"미국,독일,일본",드라마,주연,0.0,8016.0,14839000.0,1643.0
16,배드 컴파니,Nature Of The Beast / Bad Company,1995,미국,"범죄,스릴러",주연,,,,
17,압솔롬 탈출,No Escape-Escape From Absolom,1994,미국,"SF,액션",주연,0.0,30861.0,,
18,맥스 3000,Man'S Best Friend,1993,미국,"SF,공포(호러),스릴러",주연,0.0,18834.0,,
19,스톤콜드,STONE COLD,1991,미국,"액션,범죄,드라마",주연,,95130.0,,
