,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,미이라,The Mummy,2017,미국,"액션,어드벤처,판타지",주연,30504689978.0,3689325.0,30504689978.0,3689325.0
1,나이스 가이즈,The Nice Guys,2016,미국,"범죄,미스터리,스릴러",주연,189535838.0,24471.0,189535838.0,24471.0
2,파더 앤 도터,Fathers and Daughters,2015,"미국,이탈리아",드라마,주연,465781100.0,61046.0,466831100.0,61196.0
3,워터 디바이너,The Water Diviner,2014,"미국,호주,터키","드라마,전쟁","감독,주연",1008818235.0,136134.0,1009218235.0,136275.0
4,윈터스 테일,Winter's Tale,2014,미국,"드라마,판타지,미스터리",주연-퍼리 솜스 역역,,,,
5,노아,Noah,2013,미국,"어드벤처,드라마,판타지",주연,15514083500.0,2026574.0,15514373500.0,2026594.0
6,맨 오브 스틸,Man of Steel,2013,미국,SF,주연,17092964063.0,2182227.0,17092964063.0,2182227.0
7,브로큰 시티,Broken City,2013,미국,"범죄,액션",주연,92263000.0,12771.0,92263000.0,12771.0
8,브로큰시티 무삭제 특별판,BROKEN CITY,2013,미국,"스릴러,범죄",주연,,,40000.0,10.0
9,레미제라블,Les Miserables,2012,미국,드라마,주연,43044999000.0,5911890.0,43090556000.0,5920977.0
10,러셀 크로우의 아이언 피스트,The Man With The Iron Fists,2012,미국,액션,주연-잭 나이프 역역,,,,
11,쓰리 데이즈,The Next Three Days,2010,"미국,프랑스","범죄,스릴러,액션",주연-존 브레넌역,1882542699.0,257106.0,1996084500.0,272496.0
12,로빈 후드,Robin Hood,2010,미국,"액션,드라마,사극",주연,11746340129.0,1596574.0,11560588500.0,1570681.0
13,스테이트 오브 플레이,State Of Play,2009,미국,"드라마,범죄,스릴러",주연-칼 맥카프리역,998567826.0,150447.0,980130500.0,147737.0
14,텐더니스,Tenderness,2009,미국,"범죄,드라마,스릴러",주연,,,,
15,바디 오브 라이즈,Body Of Lies,2008,미국,"스릴러,액션",주연,3811488333.0,584861.0,3839806000.0,589899.0
16,3:10 투 유마,3:10 To Yuma,2007,미국,"범죄,서부극(웨스턴),액션",주연,306807833.0,48284.0,303734500.0,47069.0
17,아메리칸 갱스터,American Gangster,2007,미국,"범죄,드라마",주연,,403624.0,2731678000.0,401843.0
18,어느 멋진 순간,A Good Year,2006,미국,"드라마,멜로/로맨스",주연-맥스 스키너역,0.0,248711.0,1206230500.0,193013.0
19,신데렐라맨,Cinderella Man,2005,미국,드라마,주연,0.0,477760.0,2561822500.0,405215.0
20,마스터 앤드 커맨더: 위대한 정복자,Master and Commander: The Far Side of the World,2003,미국,"전쟁,드라마,액션,어드벤처",주연,0.0,570000.0,289858500.0,45549.0
21,뷰티풀 마인드,A BEAUTIFUL MIND,2001,미국,드라마,주연,0.0,589882.0,,
22,프루프 오브 라이프,Proof Of Life,2000,미국,"액션,어드벤처",주연,0.0,185418.0,,
23,글래디에이터,Gladiator,2000,미국,"액션,사극",주연-막시무스역,0.0,1242055.0,,
24,인사이더,The Insider,1999,미국,"스릴러,드라마",주연-닥터 제프리 위갠드역,0.0,22959.0,290000.0,62.0
25,미스테리 알라스카,"Mystery, Alaska",1999,미국,"코미디,드라마",주연,,,,
26,LA컨피덴셜,L.A Confidential,1997,미국,"드라마,미스터리,범죄,스릴러",주연-버드 화이트 역,0.0,248287.0,,
27,브레이킹,Breaking Up,1997,미국,"코미디,멜로/로맨스",주연,,,,
28,헤븐스 버닝,Heaven's Burning,1997,호주,"액션,드라마,범죄,멜로/로맨스,스릴러",주연,,,,
29,가상현실,Virtuosity,1995,미국,액션,주연,0.0,46523.0,,
30,퀵 앤 데드,The Quick & The Dead,1995,미국,서부극(웨스턴),주연,0.0,11337.0,257000.0,117.0
31,러프 매직,Rough Magic,1994,프랑스,"코미디,드라마,판타지",주연,0.0,61.0,,
32,이유없는 반항,ROMPER STOMPER,1994,호주,"드라마,액션",주연,0.0,5225.0,,
33,사랑의 전설,Hammers Over The Anvil,1993,호주,드라마,주연,,,,
34,위험한 선택,Proof,1991,호주,코미디,주연,0.0,1285.0,,
35,크로싱,The Crossing,1990,호주,"드라마,멜로/로맨스",주연,,,,
