,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,레버넌트: 죽음에서 돌아온 자,The Revenant,2015,미국,"어드벤처,드라마",주연,16111255130.0,2007657.0,16111327130.0,2007665.0
1,더 울프 오브 월스트리트,THE WOLF OF WALL STREET,2013,미국,"범죄,드라마",주연-조단 벨포트역,4490682000.0,585082.0,4494965500.0,585976.0
2,위대한 개츠비,The Great Gatsby,2013,"미국,호주","드라마,멜로/로맨스",주연,10580582143.0,1445124.0,10581329643.0,1445248.0
3,장고:분노의 추적자,Django Unchained,2012,미국,"서부극(웨스턴),드라마",주연,1883634000.0,260144.0,1885583000.0,260405.0
4,J.에드가 - FBI의 시작,J. Edgar,2012,미국,드라마,주연-J.에드가 후버역,,,2271000.0,359.0
5,킹메이커,The Ides of March,2011,미국,드라마,제작,342178000.0,44903.0,342666000.0,44965.0
6,허블 3D,IMAX: Hubble 3D,2010,캐나다,다큐멘터리,주연,120681000.0,16369.0,124793000.0,16893.0
7,인셉션,Inception,2010,미국,"드라마,미스터리",주연-코브역,44106546302.0,5926948.0,43481471000.0,5835017.0
8,셔터 아일랜드,Shutter Island,2009,미국,"드라마,미스터리,스릴러",주연,7528114276.0,1006833.0,7407854500.0,990223.0
9,레볼루셔너리 로드,Revolutionary Road,2008,미국,"드라마,멜로/로맨스",주연,388157352.0,56552.0,382305000.0,55702.0
10,바디 오브 라이즈,Body Of Lies,2008,미국,"스릴러,액션",주연,3811488333.0,584861.0,3839806000.0,589899.0
11,11번째 시간,The 11th Hour,2007,미국,다큐멘터리,주연(목소리),,,,
12,블러드 다이아몬드,The Blood Diamond,2006,미국,"드라마,스릴러",주연,0.0,475000.0,2819582500.0,444855.0
13,디파티드,The Departed,2006,미국,드라마,주연-빌리 코스티건역,0.0,742276.0,3416653400.0,552968.0
14,갱스 오브 뉴욕,Gangs Of New york,2002,미국,"드라마,범죄,사극",주연,0.0,698000.0,,
15,캐치 미 이프 유 캔,Catch Me If You Can,2002,미국,"드라마,범죄",주연,0.0,1807612.0,54000.0,9.0
16,비치,The Beach,1999,미국,"어드벤처,스릴러",주연-리차드역,0.0,187460.0,,
17,아이언 마스크,The Man In The Iron Mask,1998,"미국,영국","드라마,액션,어드벤처",주연-루이 14세/필립역,0.0,151451.0,,
18,셀러브리티,Celebrity,1998,미국,코미디,주연,,,550000.0,112.0
19,타이타닉,Titanic,1997,미국,"드라마,멜로/로맨스,액션",주연,0.0,1971780.0,4907805500.0,429511.0
20,마빈스룸,Marvin'S Room,1996,미국,"드라마,코미디",주연,0.0,86993.0,,
21,로미오와 줄리엣,Romeo And Juliet,1996,미국,"멜로/로맨스,액션,드라마",주연,0.0,491435.0,89416400.0,13310.0
22,바스켓볼 다이어리,Basketball Diaries,1995,미국,"범죄,드라마",주연-짐 캐롤역,0.0,36953.0,,
23,디스 보이스 라이프,This Boy'S Life,1993,미국,드라마,주연,0.0,13573.0,,
24,길버트 그레이프,What'S Eating Gilbert Grape,1993,미국,"드라마,코미디",주연-어니 그레이프역,0.0,37304.0,2060000.0,370.0
