,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,인 더 더스트,Just a Breath Away,2018,프랑스,SF,주연,,,,
1,미세스 하이드,Mrs Hyde,2017,프랑스,드라마,주연,24599400.0,2995.0,24865400.0,3025.0
2,나의 사적인 여자친구,The New Girlfriend,2014,프랑스,"코미디,드라마",주연,77358155.0,9755.0,78123355.0,9860.0
3,무드 인디고,Mood Indigo,2013,"프랑스,벨기에","드라마,판타지",주연,375764100.0,46666.0,378103230.0,46998.0
4,사랑은 타이핑 중!,POPULAIRE,2012,프랑스,"멜로/로맨스,코미디",주연,88024561.0,13029.0,88641561.0,13115.0
5,빅 픽처,The Big Picture,2010,프랑스,드라마,주연-폴 엑스벤역,182722800.0,25015.0,183556800.0,25120.0
6,하트 브레이커,Heartbreaker,2010,프랑스,"코미디,멜로/로맨스",주연,297081000.0,40835.0,297795000.0,40975.0
7,고통,Persecution,2009,"프랑스,독일",드라마,주연,,,678000.0,107.0
8,"사랑을 부르는, 파리",Paris,2008,프랑스,"코미디,드라마,멜로/로맨스",주연-피에르역,57243256.0,8330.0,56141000.0,8171.0
9,몰리에르,Moliere,2007,프랑스,코미디,주연-장-밥티스트 포클랭역,,,1215000.0,185.0
10,파리에서,Inside Paris,2006,프랑스,드라마,주연,,1626.0,7336000.0,1099.0
11,내 심장이 건너 뛴 박동,The Beat That My Heart Skipped,2005,프랑스,드라마,주연,32805600.0,4273.0,34933600.0,4596.0
12,사랑은 타이밍,The Russian Dolls,2005,프랑스,"코미디,멜로/로맨스",주연,0.0,1532.0,9012000.0,1488.0
13,추방된 사람들,Exiles,2004,프랑스,"드라마,어드벤처",주연,0.0,3931.0,23730500.0,3715.0
14,아르센 루팡,Arsene Lupin,2004,"스페인,프랑스,영국,이탈리아","액션,어드벤처,범죄",주연,,,,
15,그렇게 심각하진 않아,No Big Deal,2003,"중국,프랑스",코미디,주연,,,,
16,스페니쉬 아파트먼트,Spanish Apartment,2002,스페인,코미디,주연,0.0,8840.0,100000.0,25.0
17,"세실 카사르, 17번",Seventeen Times Cecile Cassard,2002,프랑스,드라마,주연,,,,
18,아돌프,Adolphe,2002,프랑스,드라마,주연,,,,
19,비잉 라이트,Being Light,2001,프랑스,코미디,주연,,,,
20,아마도,Perhaps,1999,프랑스,"코미디,드라마,SF",주연,,,,
21,가쵸 딜로,Gadjo Dilo,1997,프랑스,"코미디,드라마",주연,,,,
