,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,유어 무브,Your Move,2017,미국,액션,"감독,주연",5000.0,1.0,5000.0,1.0
1,대전차 특공대: 스페셜 포스,War Pigs,2015,미국,"액션,드라마,전쟁",주연,63000.0,24.0,63000.0,24.0
2,크로씽 포인트,Crossing Point,2015,미국,"액션,스릴러",주연,300000.0,60.0,300000.0,60.0
3,오퍼레이터,Operator,2015,미국,"범죄,액션",주연,5000.0,1.0,5000.0,1.0
4,런어웨이-72,AWOL-72,2015,미국,"액션,스릴러",주연-콘래드 밀러역,5000.0,1.0,5000.0,1.0
5,특별수사대,April Rain,2014,미국,"액션,스릴러",주연,3000.0,1.0,3000.0,1.0
6,라스트 에너미,Dead Drop,2013,미국,"액션,범죄,드라마",주연,23820000.0,4032.0,23820000.0,4032.0
7,히트맨 NO.2 : 살인면허,Interview With a Hitman,2012,영국,"스릴러,액션",주연,10083000.0,3067.0,10083000.0,3067.0
8,세븐 빌로우,7 BELOW,2012,미국,"스릴러,공포(호러)",조연,1200000.0,80.0,1200000.0,80.0
9,블러드 아웃,Blood Out,2011,미국,"액션,범죄",주연-마이클역,,,,
10,데스레이스2,Death Race 2,2010,"남아프리카공화국,미국","액션,스릴러",주연-칼 '루크' 루카스 역역,,,,
11,엘도라도: 태양의신전,El Dorado: Temple Of The Sun,2010,"페루,미국","액션,어드벤처",주연,,,,
12,엘도라도: 황금의 도시,El Dorado: City Of Gold,2010,"페루,미국","액션,어드벤처",주연,,,,
13,원 나잇 위드 더 킹,One Night With The King,2006,미국,드라마,주연,,,312000.0,53.0
14,시크릿 다이어리: 런던은 사랑중,Private Moments,2005,영국,드라마,주연,,,354000.0,59.0
15,콜드 앤 다크,Cold And Dark,2005,영국,"공포(호러),범죄,스릴러",주연,,,,
16,실버 호크,Silver Hawk,2004,홍콩,"액션,어드벤처",주연,,,,
