,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,리틀 포레스트,Little Forest,2018,한국,드라마,주연,11919869185.0,1504888.0,11924818185.0,1505560.0
1,뺑반,,2018,한국,"범죄,액션",주연,,,,
2,전투,,2018,한국,"사극,액션,드라마",주연,,,,
3,독전: 익스텐디드 컷,,2017,한국,"범죄,액션",주연,,,844556600.0,137753.0
4,독전,Believer,2017,한국,"범죄,액션",주연-락역,43314359313.0,5043827.0,43483401913.0,5063433.0
5,침묵,Heart Blackened,2017,한국,드라마,주연,3930219264.0,494097.0,3930219264.0,494097.0
6,택시운전사,A Taxi Driver,2017,한국,드라마,주연-구재식역,95855737149.0,12186684.0,95868830649.0,12189195.0
7,돈,,2017,한국,범죄,주연-일현역,,,,
8,더 킹,The King,2016,한국,"범죄,드라마",주연-최두일역,43486078535.0,5316325.0,43488814535.0,5317693.0
9,계춘할망,Canola,2016,한국,"가족,드라마",조연-철헌역,3599680348.0,482259.0,3602649348.0,482784.0
10,양치기들,The Boys Who Cried Wolf,2015,한국,"드라마,범죄,스릴러",조연-동철역,48845200.0,6096.0,52229200.0,6522.0
11,글로리데이,One Way Trip,2015,한국,드라마,주연-지공역,1486835668.0,189345.0,1487225668.0,189405.0
12,섬. 사라진 사람들,NO TOMORROW,2015,한국,스릴러,조연-지훈역,162450200.0,20163.0,162450200.0,20163.0
13,"로봇, 소리",SORI: Voice from the Heart,2015,한국,드라마,조연-씨없는 딸기역,3519595560.0,476665.0,3519595560.0,476665.0
14,소셜포비아,Socialphobia,2014,한국,"스릴러,드라마",주연-양게역,1960891963.0,249372.0,1979007063.0,251551.0
15,동心,One-minded,2014,한국,드라마,주연,,,,
16,미드나잇 썬,Midnight Sun,2014,한국,드라마,주연-용훈역,,,,
