,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,인턴,The Intern,2015,미국,코미디,주연,28518443148.0,3610642.0,28522202348.0,3611166.0
1,"나,너 그리고 우리","Yours, Mine And Ours",2006,미국,"멜로/로맨스,드라마,코미디,가족",주연,0.0,120.0,846500.0,121.0
2,투 포 더 머니,Two For The Money,2005,미국,"드라마,스릴러",주연,,,,
3,록키와 불윙클,The Adventures Of Rocky And Bullwinkle,2000,"미국,독일","어드벤처,코미디,판타지",주연,0.0,3981.0,,
4,토마스 크라운 어페어,The Thomas Crown Affair,1999,미국,"멜로/로맨스,범죄,스릴러,코미디",주연,0.0,100589.0,,
5,리쎌웨폰 4,Lethal Weapon 4,1998,미국,"범죄,스릴러,액션,코미디",주연,0.0,446851.0,,
6,랜섬,Ransom,1996,미국,"액션,드라마,스릴러,범죄",주연,0.0,508244.0,,
7,틴 컵,Tin Cup,1996,미국,드라마,주연,0.0,46281.0,,
8,겟 쇼티,Get Shorty,1995,미국,"코미디,드라마,범죄,스릴러",주연,0.0,33623.0,,
9,아웃브레이크,Outbreak,1995,미국,드라마,주연,0.0,159844.0,,
