,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,인디펜던스 데이 : 리써전스,Independence Day: Resurgence,2016,미국,"액션,어드벤처,SF",주연,12770879840.0,1500830.0,12770879840.0,1500830.0
1,드레스메이커,The Dressmaker,2015,호주,드라마,주연,447111000.0,56275.0,447353000.0,56316.0
2,헝거게임: 더 파이널,The Hunger Games: Mockingjay - Part 2,2015,미국,"액션,어드벤처",주연,6070679163.0,806709.0,6070679163.0,806709.0
3,헝거게임: 모킹제이,The Hunger Games: Mockingjay - Part 1,2014,미국,"어드벤처,SF,스릴러",주연,6400058044.0,854377.0,6400058044.0,854377.0
4,컷뱅크,Cut Bank,2014,미국,스릴러,주연,,,,
5,파라노이아,Paranoia,2013,"미국,프랑스","드라마,스릴러",주연,8000.0,1.0,8000.0,1.0
6,엠파이어 스테이트,Empire State,2013,미국,액션,주연,42959800.0,6228.0,42959800.0,6228.0
7,헝거게임: 캣칭 파이어,The Hunger Games: Catching Fire,2013,미국,"판타지,액션",주연-게일 호손역,7850816000.0,1125739.0,7863572734.0,1127329.0
8,익스펜더블 2,The Expendables II,2012,미국,"액션,어드벤처",주연,3208867228.0,444434.0,3209043228.0,444456.0
9,헝거게임: 판엠의 불꽃,The Hunger Games,2012,미국,"액션,드라마,SF",주연-게일 호손역,4478418000.0,607956.0,4480013734.0,608222.0
10,사랑과 전쟁,Love and Honor,2012,미국,"전쟁,멜로/로맨스",주연,,,,
11,라스트 송,The last song,2009,미국,"드라마,멜로/로맨스",주연-윌 블레이크리 역역,,,,
