,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,내 이름은 크리슈나,Main Krishna Hoon,2013,인도,"애니메이션,가족,뮤지컬",주연,,,,
1,수퍼 히어로 크리쉬 3,Krrish 3,2013,인도,"SF,액션",주연,,,,
2,아그니파스,Agneepath,2012,인도,"액션,범죄,드라마",주연-비제이 디나나스 차우한역,,,,
3,카이츠,Kites,2011,인도,"액션,멜로/로맨스,스릴러",주연,6311000.0,1239.0,6311000.0,1239.0
4,한 번 뿐인 내 인생,Zindagi Na Milegi Dobara,2011,인도,드라마,주연,,,471000.0,237.0
5,청원,Guzaarish,2010,인도,드라마,주연-이튼역,553663000.0,77500.0,561441500.0,78766.0
6,조다 악바르,Jodhaa Akbar,2008,인도,"액션,어드벤처",주연,,,752000.0,188.0
7,천재도둑미스터A,Dhoom 2,2006,인도,"액션,스릴러",주연,60000.0,10.0,60000.0,10.0
8,수퍼 히어로 끄리쉬,Krrish,2006,이란,"액션,멜로/로맨스,어드벤처,SF",주연,,,,
9,미션 카슈미르,Mission Kashmir,2000,인도,액션,주연,,,,
10,사랑한다 말해,Kaho Naa... Pyaar Hai,2000,인도,"액션,범죄,멜로/로맨스",주연,,,,
