,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,미스테리 예고살인,Mysteria,2011,미국,"미스터리,스릴러",주연,80000.0,20.0,80000.0,20.0
1,"러블리, 스틸","Lovely, Still",2008,미국,"드라마,멜로/로맨스",주연,116034067.0,14790.0,123046000.0,15683.0
2,아리아 커플,The Aryan Couple,2004,"영국,미국","전쟁,드라마",주연,,,,
3,베리 민 멘,Very Mean Men,2000,미국,"코미디,범죄",주연,,,,
4,샤이너,Shiner,2000,영국,"범죄,드라마,스릴러",주연,,,,
5,인 더 비기닝,In the Beginning,2000,미국,"어드벤처,드라마",주연,,,,
6,조이라이더스,The Joyriders,1999,미국,드라마,주연,,,,
7,피노키오의 새로운 모험,The New Adventures Of Pinocchio,1999,"미국,독일,영국","가족,판타지",주연,,,,
8,피노키오의 모험,The Adventures Of Pinochio,1996,미국,"뮤지컬,어드벤처,판타지",주연,0.0,41625.0,,
9,테일 라이트,Mistress,1992,미국,코미디,주연-잭 역역,,,,
10,암흑가의 형제들,The Neon Empire,1989,미국,"액션,범죄",주연,0.0,9236.0,,
11,터커,Tucker : The Man and His Dream,1988,미국,드라마,주연,0.0,0.0,,
12,속 밤의 열기속에서,They Call Me MISTER Tibbs!,1970,미국,"드라마,미스터리,범죄",주연,0.0,79379.0,,
