,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,다크타워: 희망의 탑,The Dark Tower,2017,미국,"액션,어드벤처,판타지",주연,761759275.0,97017.0,761759275.0,97017.0
1,프리 스테이트,Free State of Jones,2016,미국,"액션,전쟁,드라마",주연,21110000.0,10541.0,21110000.0,10541.0
2,골드,Gold,2016,미국,"드라마,어드벤처",주연,195316900.0,25612.0,195316900.0,25612.0
3,씽,Sing,2016,미국,"애니메이션,뮤지컬",주연(목소리),13265525389.0,1730688.0,13266175589.0,1730773.0
4,쿠보와 전설의 악기,Kubo and the Two Strings,2016,미국,"애니메이션,어드벤처,가족,판타지",주연(목소리),208824862.0,30525.0,208824862.0,30525.0
5,씨 오브 트리스,The Sea of Trees,2015,미국,드라마,주연,58561600.0,7087.0,58561600.0,7087.0
6,인터스텔라,Interstellar,2014,"미국,영국",SF,주연,82291089200.0,10275484.0,82669061000.0,10309432.0
7,달라스 바이어스 클럽,Dallas Buyers Club,2013,미국,드라마,주연,531581543.0,70529.0,533709462.0,70801.0
8,더 울프 오브 월스트리트,THE WOLF OF WALL STREET,2013,미국,"범죄,드라마",주연,4490682000.0,585082.0,4494965500.0,585976.0
9,머드,Mud,2012,미국,드라마,주연,206252500.0,28507.0,208202500.0,28766.0
10,버니,Bernie,2012,미국,"코미디,범죄,드라마",주연,50632000.0,7443.0,52266300.0,7663.0
11,킬러 조,Killer Joe,2012,미국,"범죄,스릴러",주연,1589200.0,204.0,1589200.0,204.0
12,매직 마이크,Magic Mike,2012,미국,코미디,주연,204442500.0,27339.0,204625500.0,27362.0
13,페이퍼보이: 사형수의 편지,The Paperboy,2011,미국,스릴러,주연-워드 제임스역,22677500.0,3030.0,23653500.0,3149.0
14,링컨 차를 타는 변호사,The Lincoln Lawyer,2011,미국,"범죄,스릴러",주연,2443603500.0,327612.0,2443947500.0,327655.0
15,고스트 오브 걸프렌즈 패스트,Ghosts Of Girlfriends Past,2009,미국,"멜로/로맨스,코미디",주연-코너역,,,,
16,트로픽 썬더,Tropic Thunder,2008,"미국,독일","액션,코미디,어드벤처,전쟁",주연-릭역,465953500.0,67267.0,465953500.0,67267.0
17,사랑보다 황금,Fool'S Gold,2008,미국,"멜로/로맨스,어드벤처,코미디",주연-벤 핀 피네건역,403351000.0,64310.0,406970500.0,61326.0
18,"헬로우, 서퍼","Surfer, Dude",2008,미국,코미디,주연,,,,
19,티쇼밍 블루스,Tishomingo Blues,2007,미국,"드라마,범죄,코미디",주연,,,,
20,달콤한 백수와 사랑만들기,Failure To Launch,2006,미국,"멜로/로맨스,코미디","주연-트립역,트립역",0.0,68143.0,418436500.0,63860.0
21,우리는 마샬 : 불멸의 팀,We Are Marshall,2006,미국,드라마,주연,,,,
22,사하라,Sahara,2005,미국,"액션,어드벤처",주연-역,0.0,465599.0,2615859500.0,411424.0
23,투 포 더 머니,Two For The Money,2005,미국,"드라마,스릴러",주연,,,,
24,10일 안에 남자 친구에게 차이는 법,How to Lose a Guy in 10 Days,2003,미국,"멜로/로맨스,코미디",주연-역,0.0,547845.0,,
25,팁토,Tiptoes,2003,"미국,프랑스","코미디,드라마,멜로/로맨스",주연,,,,
26,레인 오브 파이어,Reigh Of Fire,2002,미국,SF,주연-역,0.0,140955.0,,
27,프레일티,Frailty,2001,미국,스릴러,주연-역,0.0,287.0,,
28,웨딩플래너,The Wedding Planner,2001,미국,"멜로/로맨스,코미디",주연-역,0.0,91599.0,,
29,13 컨버세이션,13 Conversations About One Thing,2001,미국,드라마,주연,,,,
30,유(U) - 571,U - 571,2000,"프랑스,미국","액션,드라마,스릴러,전쟁","주연-앤드류 테일러역,앤드류 테일러역",0.0,230822.0,,
31,생방송 에드TV,Edtv,1998,미국,코미디,주연,0.0,8195.0,,
32,뉴튼 보이즈,The Newton Boys,1998,미국,"액션,범죄,드라마,서부극(웨스턴)",주연,,,,
33,타임 투 킬,A Time To Kill,1996,미국,"스릴러,드라마",주연,0.0,269408.0,,
34,텍사스 전기톱 학살 4,The Return Of The Texas Chainsaw Massacre,1994,미국,"공포(호러),스릴러",주연-빌머 역역,,,,
