,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,닌자터틀 : 어둠의 히어로,Teenage Mutant Ninja Turtles : Out Of The Shadow,2016,미국,"액션,어드벤처",주연,1934052000.0,235207.0,1934052000.0,235207.0
1,닌자터틀,Teenage Mutant Ninja Turtles,2014,미국,"액션,어드벤처,코미디",주연,3321120147.0,400329.0,3321152147.0,400333.0
2,독재자,The Dictator,2012,미국,코미디,주연,,,,
3,디스 이즈 포티,This Is 40,2012,미국,코미디,주연-데시 역역,,,,
4,프렌즈 위드 키즈,Friends With Kids,2011,미국,"코미디,드라마",주연,,,,
5,원초적 본능 2015,Passion Play,2010,미국,"멜로/로맨스,드라마,판타지",주연-릴리역,205000.0,37.0,205000.0,37.0
6,트랜스포머: 패자의 역습,Transformers: Revenge Of The Fallen,2009,미국,"SF,액션,어드벤처",주연-미카엘라 바니스역,51478531663.0,7505700.0,50699866000.0,7393443.0
7,죽여줘! 제니퍼,Jennifer's Body,2009,미국,"SF,공포(호러),스릴러",주연,,,,
8,트랜스포머,Transformers,2007,미국,"SF,액션,어드벤처",주연,0.0,7440531.0,47710604338.0,7402732.0
9,드라마 퀸,Confessions Of A Teenage Drama Queen,2004,"미국,독일","코미디,가족",주연,,,,
