,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,1987,1987: When the Day Comes,2017,한국,드라마,단역-안기부장역,58166310145.0,7231770.0,58166910145.0,7231830.0
1,기억의 밤,Forgotten,2017,한국,"미스터리,스릴러",주연,10652346660.0,1387599.0,10653271160.0,1387779.0
2,석조저택 살인사건,The Tooth and the Nail,2017,한국,스릴러,주연,2825346886.0,353043.0,2829106886.0,353517.0
3,밤의 해변에서 혼자,On the Beach at Night Alone,2016,한국,드라마,조연,438976092.0,56995.0,439840592.0,57110.0
4,동주,DONGJU; The Portrait of A Poet,2015,한국,드라마,단역-정지용역,8870143589.0,1169335.0,8909265963.0,1175737.0
5,"협녀, 칼의 기억",Memories of the Sword,2015,한국,"사극,액션",조연,3360045489.0,431310.0,3360045489.0,431310.0
6,해무(海霧),Haemoo,2014,한국,드라마,주연,11706502519.0,1475472.0,11707382519.0,1475582.0
7,청야,Geochang Massacre - Bloody winter,2013,한국,드라마,"조연-다큐멘터리 나레이션역(목소리),다큐멘터리나레이션역(목소리)",17587000.0,4438.0,17811000.0,4550.0
8,남영동1985,National Security,2012,한국,드라마,조연-윤사장역,2358629601.0,332619.0,2358707101.0,332643.0
9,다른나라에서,In Another Country,2011,한국,드라마,주연-문수역,237013700.0,30590.0,241291200.0,31143.0
10,옥희의 영화,Oki's Movie,2010,한국,"드라마,멜로/로맨스","주연-송교수, 늙은 남자역",285316525.0,37086.0,285930900.0,37122.0
11,작은 연못,A Little Pond,2010,한국,"드라마,전쟁",주연,317197695.0,47160.0,312380500.0,46428.0
12,어떤 방문,Visitors,2009,한국,드라마,주연-전 선생 역,14783954.0,2079.0,14761600.0,2084.0
13,실종,Missing,2009,한국,"범죄,스릴러,미스터리",주연-판곤역,4415413589.0,654587.0,4346511500.0,644276.0
14,첩첩산중,Lost in the Mountains,2009,한국,"드라마,코미디",주연,,,,
15,"두뇌유희프로젝트, 퍼즐",Puzzle,2006,한국,"범죄,스릴러",주연,0.0,270779.0,1450490000.0,228385.0
16,한반도,Hanbando,2006,한국,"드라마,액션",주연,0.0,3880308.0,20597497600.0,3331593.0
17,오로라 공주,Princess Aurora,2005,한국,"범죄,스릴러",조연,0.0,946372.0,5365343000.0,830538.0
18,질투는 나의 힘,Jealousy Is My Middle Name,2002,한국,드라마,주연,,62788.0,223000.0,28.0
19,오! 수정,Virgin Stripped Bare By Her Bachelors,2000,한국,멜로/로맨스,주연-영수역,0.0,90257.0,114500.0,20.0
20,생과부 위자료 청구소송,Bedroom And Courtroom,1998,한국,"드라마,코미디",주연,0.0,147037.0,,
21,죽이는 이야기,Film-Making,1997,한국,"드라마,코미디",주연,0.0,40380.0,,
22,초록물고기,Green Fish,1997,한국,"드라마,멜로/로맨스,액션",주연,0.0,163655.0,1087000.0,161.0
23,꽃잎,A Petal,1996,한국,드라마,주연,0.0,213979.0,0.0,0.0
24,아름다운 청년 전태일,A Single Spark,1995,한국,드라마,주연,0.0,235935.0,118000.0,21.0
25,네온 속으로 노을지다,Sunset Into The Neon Lights,1995,한국,드라마,주연,0.0,42285.0,186000.0,34.0
26,너에게 나를 보낸다,To You From Me,1994,한국,드라마,주연,0.0,381578.0,,
27,세상 밖으로,Out To The World,1994,한국,"드라마,코미디",주연,0.0,252609.0,,
28,그 섬에 가고 싶다,To The Starry Island,1993,한국,"드라마,전쟁",주연,0.0,147310.0,221000.0,43.0
29,백한번째 프로포즈,The 101St Proposition,1993,한국,"멜로/로맨스,드라마",주연,0.0,82913.0,,
30,비상구가 없다,No Emergency Exit,1993,한국,멜로/로맨스,주연-동오역,0.0,19629.0,,
31,스무살까지만 살고 싶어요,I Want Live Just Until 20 Years Old,1991,한국,"드라마,멜로/로맨스",주연,0.0,24448.0,,
32,경마장 가는 길,The Road To Race Track,1991,한국,"드라마,멜로/로맨스",주연,0.0,179802.0,184000.0,38.0
33,베를린 리포트,Berlin Report,1991,한국,"드라마,전쟁",주연,0.0,80435.0,,
34,그들도 우리처럼,Black Republic,1990,한국,드라마,주연,0.0,48851.0,490000.0,188.0
35,꼴찌부터 일등까지 우리반을 찾습니다,Our Class Accepts Anyone Regardless Of Grade,1990,한국,드라마,주연,0.0,15825.0,5000.0,1.0
