,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,애나벨 : 인형의 주인,Annabelle: Creation,2017,미국,공포(호러),주연,15526858738.0,1934192.0,15527492238.0,1934270.0
1,나의 딸,The Daughter,2015,호주,드라마,주연,6113200.0,953.0,6113200.0,953.0
2,프랑켄슈타인: 불멸의 영웅,"I, Frankenstein",2013,"미국,호주","액션,SF,판타지",주연,2175466123.0,299205.0,2175466123.0,299205.0
3,인 허 스킨,In Her Skin,2009,호주,"드라마,스릴러",주연,,,,
4,우주전쟁,War Of The Worlds,2005,미국,"드라마,액션,SF,스릴러",주연-매리 앤 페리어 역,0.0,3223000.0,16759599690.0,2643153.0
5,아버지의 밀실,In My Father's Den,2004,"뉴질랜드,영국","미스터리,스릴러,드라마",주연,,,,
6,대니 덱체어,Danny Deckchair,2003,호주,코미디,주연,,,,
7,오픈 유어 아이즈 2,Close Your Eyes,2002,영국,"범죄,공포(호러),스릴러",주연,,,,
8,잭 불,The Jack Bull,1999,미국,서부극(웨스턴),주연,,,,
9,노스트라다무스의 연인,The Nostradamus Kid,1993,호주,드라마,주연,,,,
