,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,아더와 미니모이 3: 두 세계의 전쟁,Arthur and the Two Worlds War,2010.0,프랑스,애니메이션,주연,434914800.0,61550.0,434914800.0,61550.0
1,아더와 미니모이 2 : 셀레니아 공주 구출 작전,Arthur And The Revenge Of Maltazard,2009.0,프랑스,"판타지,어드벤처,애니메이션",주연-할머니 역,292857989.0,44961.0,288260000.0,44245.0
2,아더와 미니모이-제1탄비밀원정대의출정,Arthur And The Invisibles,2006.0,프랑스,"어드벤처,판타지",주연,823623531.0,128531.0,810514000.0,126546.0
3,씨크릿 오브 조이,The Secret Life Of Zoey,2002.0,미국,드라마,주연,,,,
4,아일랜드의 연풍,Widows' Peak,1994.0,아일랜드,"범죄,코미디",주연-캐서린 오해어역,,,,
5,그림자와 안개,Shadows and Fog,1992.0,미국,코미디,주연-어미 역역,,,,
6,브로드웨이의 대니 로즈,Broadway Danny Rose,1984.0,미국,코미디,주연-티나 비테일 역역,,,,
7,허리케인,Hurricane,1979.0,미국,드라마,주연,,280873.0,,
8,나일 살인사건,Death on the Nile,1978.0,영국,미스터리,주연,0.0,203454.0,,
9,위대한 켓스비,The Great Gatsby,1974.0,미국,"멜로/로맨스,드라마",주연,,144947.0,82000.0,41.0
10,공포의 25시,Blind Terror,1971.0,영국,"공포(호러),드라마,스릴러,범죄",주연,0.0,69656.0,,
11,영 러버,John and Mary,1969.0,미국,드라마,주연,0.0,109098.0,,
12,물망초,Forget me never,,,,주연,,,,
