,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,개인교수 : 여친 만족 시키기,,2018,한국,멜로/로맨스,주연,,,6000.0,1.0
1,여직원들 : 2대2 섹스,,2018,한국,멜로/로맨스,주연,6000.0,1.0,6000.0,1.0
2,개인교수 : 여친 만족 시키기 무삭제,,2018,한국,멜로/로맨스,주연,,,,
3,친구엄마 : 섹스 하던 날 무삭제,,2017,한국,멜로/로맨스,주연,,,6000.0,1.0
4,누나친구 : 이혼하고 온 날 무삭제,,2017,한국,멜로/로맨스,주연,6000.0,1.0,6000.0,1.0
5,누나친구 : 이혼하고 온 날,,2017,한국,멜로/로맨스,주연,6000.0,1.0,6000.0,1.0
6,친구엄마 : 섹스 하던 날,,2017,한국,멜로/로맨스,주연,6000.0,1.0,6000.0,1.0
7,직장 스와핑 : 예쁜 여직원들,,2017,한국,멜로/로맨스,주연,6000.0,1.0,6000.0,1.0
8,내 동생의 여자친구 무삭제판,,2016,한국,"멜로/로맨스,드라마",주연,6000.0,1.0,6000.0,1.0
9,"내 친구, 그의 아내 무삭제",,2016,한국,멜로/로맨스,주연,6000.0,1.0,6000.0,1.0
10,신혼여행 : 불륜 무삭제,,2016,한국,멜로/로맨스,주연,5000.0,1.0,5000.0,1.0
11,젊은 형수 무삭제,,2016,한국,멜로/로맨스,주연,5000.0,1.0,5000.0,1.0
12,내 동생의 여자친구,,2016,한국,"멜로/로맨스,드라마",주연,5000.0,1.0,5000.0,1.0
13,신혼여행 : 불륜,,2016,한국,멜로/로맨스,주연-유카역,5000.0,1.0,5000.0,1.0
14,"내 친구, 그의 아내",,2016,한국,멜로/로맨스,주연,5000.0,1.0,5000.0,1.0
15,VIP전용 여자,Woman for exclusive use of the VIP,2016,일본,성인물(에로),주연,8000.0,1.0,8000.0,1.0
16,청순한 아내의 밤,Married woman 6,2015,일본,성인물(에로),주연,8000.0,1.0,8000.0,1.0
17,극상 아로마마사지,Wife of the afternoon The first aroma massage,2015,일본,성인물(에로),주연,8000.0,1.0,8000.0,1.0
18,교수와 여제자: 사랑,Happiness Of Law,2015,일본,성인물(에로),주연,8000.0,1.0,8000.0,1.0
