,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,웨포나이즈드,Swap,2016,미국,"액션,SF,스릴러",주연,2870000.0,574.0,8290000.0,1658.0
1,대전차 특공대: 스페셜 포스,War Pigs,2015,미국,"액션,드라마,전쟁",주연,63000.0,24.0,63000.0,24.0
2,히트맨 인 런던,A Hitman In London,2015,영국,"액션,스릴러",주연,5000.0,1.0,5000.0,1.0
3,건 파이터,Blunt Force Trauma,2015,콜롬비아,액션,주연,,,,
4,자바히트: 살인면허,Java Heat,2013,미국,"액션,드라마,범죄",주연,250000.0,50.0,250000.0,50.0
5,씬 시티: 다크히어로의 부활,Sin City: A dame to kill for,2013,미국,"액션,범죄,스릴러",주연,656718748.0,83182.0,656718748.0,83182.0
6,익스트림 No.13,13,2011,미국,스릴러,주연-제퍼슨역,88072516.0,12408.0,88072516.0,12408.0
7,신들의 전쟁,Immortals,2011,미국,"드라마,액션,판타지",주연-하이페리온 왕 역,11726682000.0,1338411.0,11726682000.0,1338411.0
8,원초적 본능 2015,Passion Play,2010,미국,"멜로/로맨스,드라마,판타지",주연-네이트역,205000.0,37.0,205000.0,37.0
9,익스트림 No.13 감독판,13,2010,미국,"스릴러,액션",조연,600000.0,40.0,600000.0,40.0
10,익스펜더블,The Expendables,2010,미국,"스릴러,액션",주연,3025538174.0,398097.0,2973383000.0,390458.0
11,아이언맨 2,Iron Man 2,2010,미국,"SF,액션,어드벤처",주연,33161943100.0,4498335.0,32635195500.0,4425003.0
12,더 레슬러,The Wrestler,2008,미국,"드라마,액션",주연-랜디 더 램 로빈슨역,407039802.0,59662.0,399922000.0,58677.0
13,킬샷,Killshot,2008,미국,"액션,범죄,스릴러",주연,,,,
14,씬 시티,Sin City,2005,미국,"범죄,스릴러,액션",주연,0.0,356183.0,2024599506.0,311066.0
15,도미노,Domino,2005,"프랑스,미국","액션,스릴러",주연,,,,
16,스펀,Spun,2002,미국,"코미디,범죄,드라마",주연,,,,
17,클레어 작전,Picture Claire,2001,"캐나다,미국",스릴러,주연,,,,
18,아웃 인 피프티,Out in Fifty,1999,미국,드라마,주연,,,,
19,포인트 블랭크,Point Blank,1997,미국,"드라마,액션",주연,0.0,640.0,,
20,더블팀,Double Team,1997,미국,"액션,스릴러",주연,0.0,78258.0,,
21,나인하프위크 2,Another Nine & a Half Week,1996,미국,"성인물(에로),드라마,멜로/로맨스",주연,0.0,12086.0,,
22,미키루크의 엑시트 인 레드,Exit In Red,1996,미국,"멜로/로맨스,스릴러",주연,0.0,7345.0,,
23,블렛,Bullet,1995,미국,"액션,드라마,범죄",주연,0.0,461.0,,
24,폴 타임,Fall Time,1995,미국,드라마,주연,0.0,7691.0,,
25,미키 루크의 F.T.W,Fuck The World,1994,미국,드라마,주연,0.0,6497.0,,
26,미키 루크의 추적자,The Last Outlaw,1993,미국,"서부극(웨스턴),액션",주연,0.0,12062.0,,
27,화이트 샌드,White Sande,1992,미국,"드라마,스릴러",주연,0.0,13647.0,,
28,할리와 말보로맨,Harley Davidson And Marlboro Man,1991,미국,"액션,스릴러,범죄,SF",주연,0.0,72999.0,,
29,광란의 시간,Desperate Hours,1990,미국,"스릴러,드라마,범죄",주연,0.0,59194.0,,
30,와일드 오키드,Wild Orchid,1990,미국,드라마,주연,0.0,210623.0,,
31,쟈니핸섬,Johnny Handsome,1989,미국,"드라마,범죄",주연,0.0,56062.0,,
32,프란체스코,Francesco,1989,"이탈리아,독일",드라마,주연,0.0,70452.0,,
33,홈보이,Home Boy,1988,미국,드라마,"주연,시나리오(각본)",0.0,13073.0,,
34,죽는자를 위한 기도,A Prayer For The Dying,1987,미국,"드라마,액션",주연,0.0,17714.0,,
35,엔젤 하트,Angel Heart,1987,미국,"공포(호러),미스터리,스릴러",주연,0.0,107863.0,,
36,나인하프위크,Nine 1/2 Weeks,1986,미국,"드라마,성인물(에로)",주연,0.0,234998.0,,
37,이어 오브 드래곤,Year Of The Dragon,1985,미국,"드라마,액션",주연,0.0,121043.0,977000.0,194.0
38,용의자,Eureka,1982,"영국,미국","드라마,스릴러",주연,,,,
