,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,우는 남자,No Tears for the Dead,2014.0,한국,"액션,드라마",조연,4923607800.0,603409.0,4924852800.0,603495.0
1,한 번도 안 해본 여자,Virgin Theory,2013.0,한국,"멜로/로맨스,코미디",주연,72481500.0,9732.0,72481500.0,9732.0
2,소년병,The Boy,2013.0,한국,"멜로/로맨스,판타지",조연-상사역,,,,
3,구천리 마을잔치,Paprika Feast,2011.0,한국,"공포(호러),판타지",주연,,,167000.0,105.0
4,작은 연못,A Little Pond,2010.0,한국,"드라마,전쟁","조연-문씨 아들, 욱이역",317197695.0,47160.0,312380500.0,46428.0
5,나는 곤경에 처했다!,I'm in Trouble!,2009.0,한국,"코미디,멜로/로맨스",주연-선우역,1774196.0,283.0,1753000.0,279.0
6,키친,The Naked Kitchen,2009.0,한국,멜로/로맨스,단역-증권사 직장후배역,939320372.0,142336.0,931460100.0,141109.0
7,심심한 여자,Just Bored,2009.0,한국,드라마,주연-오성수역,,,,
8,GP 506,The Guard Post,2007.0,한국,"공포(호러),미스터리,스릴러",조연-현재대원 - 조 상황병역,6316842000.0,945185.0,6316842000.0,936945.0
9,우아한 세계,The Show Must Go On,2006.0,한국,액션,단역-노 상무 부하 1역,0.0,1025781.0,6161685500.0,960658.0
10,비단구두,Silk Shoes,2005.0,한국,드라마,조연-조감독역,0.0,759.0,5173000.0,759.0
11,남자의 향기,Scent of a Man,1998.0,한국,"멜로/로맨스,액션",단역-호달파역,0.0,148781.0,,
12,무서운 이야기 '공포 비행기',,,한국,공포(호러),주연-부기장역,,,,
