,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,침묵,Heart Blackened,2017,한국,드라마,주연,3930219264.0,494097.0,3930219264,494097
1,형,MY ANNOYING BROTHER,2016,한국,"코미디,드라마",주연,23129111893.0,2982022.0,23130188893,2982230
2,뷰티 인사이드,The Beauty Inside,2015,한국,"판타지,멜로/로맨스",주연-우진43역,16155795131.0,2054297.0,16184831031,2057896
3,상의원,The Royal Tailor,2014,한국,"사극,드라마",주연,6202433964.0,790158.0,6204129964,790370
4,사랑의 가위바위보,One Perfect Day,2013,한국,"멜로/로맨스,코미디",주연-은희역,,,15056000,1882
5,7번방의 선물,Miracle in Cell No.7,2012,한국,"코미디,드라마",주연-큰 예승역,91431914670.0,12811206.0,91433282670,12811435
6,소중한 날의 꿈 감독판,Green Days-Dinosaurs and I Director's Cut,2011,한국,애니메이션,주연,75000.0,15.0,75000,15
7,소중한 날의 꿈,Green Days,2011,한국,"애니메이션,드라마",주연-목소리 출연역,360928100.0,52010.0,367778095,53220
8,시라노; 연애조작단,Cyrano Agency,2010,한국,"멜로/로맨스,코미디",주연-민영역,20171151599.0,2731828.0,19838443000,2684798
9,전설의 고향,The Evil Twin,2006,한국,공포(호러),주연-소연/효진역,0.0,402117.0,2246567500,352518
