,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,순정,UNFORGETTABLE,2015,한국,드라마,조연,1738293033.0,240484.0,1739006033.0,240592.0
1,봄,Late Spring,2014,한국,"드라마,멜로/로맨스",주연,111094100.0,14780.0,111094100.0,14780.0
2,시간의 숲,Forest of Time,2012,한국,다큐멘터리,주연,12000000.0,1556.0,12000000.0,1556.0
3,파파,Papa,2011,한국,"가족,코미디",주연-춘섭역,3999992000.0,587279.0,4000072000.0,587291.0
4,아이들...,Children...,2010,한국,"범죄,스릴러",주연-강지승역,13579712500.0,1867849.0,13579712500.0,1867849.0
5,평양성,Battlefield Heroes,2010,한국,"전쟁,코미디,드라마",단역-무기 나르는 고구려 병사역,12684530500.0,1717566.0,12684530500.0,1717566.0
6,핸드폰,Handphone,2008,한국,스릴러,주연-정이규역,4271780582.0,630049.0,4221938000.0,622486.0
7,원스어폰어타임,Once Upon A Time,2008,한국,"액션,코미디",주연,10180143111.0,1562486.0,10136738500.0,1544486.0
8,지금 사랑하는 사람과 살고 있습니까?,Love Now,2007,한국,"드라마,멜로/로맨스",주연,0.0,1095119.0,7004658500.0,1042955.0
9,뷰티풀 선데이,Beautiful Sunday,2007,한국,스릴러,주연,0.0,180178.0,1123934000.0,169036.0
10,조용한 세상,The World Of Silence,2006,한국,"드라마,미스터리,스릴러",주연,0.0,178434.0,937877400.0,161142.0
11,호로비츠를 위하여,For Horowitz,2006,한국,드라마,주연,0.0,544656.0,2813074600.0,462623.0
12,"달콤, 살벌한 연인",My Scary Girl,2006,한국,"스릴러,멜로/로맨스",주연,0.0,2286745.0,13426707100.0,2077590.0
13,작업의 정석,The Art Of Seduction,2005,한국,코미디,조연,0.0,2342232.0,11706585100.0,1853623.0
14,혈의 누,Blood Rain,2004,한국,스릴러,주연-김인권역,0.0,2274995.0,12367924506.0,1926681.0
15,스턴트맨,Stunt Man,2003,한국,액션,주연,,,,
16,연애소설,Lover's Concerto,2002,한국,드라마,주연,,589743.0,,
17,무사,Musa-The Warrior,2001,한국,"드라마,액션",주연,0.0,857148.0,249000.0,48.0
18,동감,Ditto,2000,한국,"멜로/로맨스,판타지",조연,0.0,346279.0,1299000.0,422.0
19,쉬리,Swiri,1999,한국,"액션,드라마,멜로/로맨스,미스터리",조연-어성식역,0.0,5820000.0,,
20,까,Naked Being,1998,한국,드라마,주연,0.0,16448.0,,
21,투캅스 3,Two Cops 3,1998,한국,"액션,코미디",주연,0.0,117186.0,,
22,올가미,The Hole,1997,한국,"공포(호러),드라마,스릴러",주연,0.0,141717.0,,
23,전자인간 337,Electronic Man 337,1977,한국,"SF,애니메이션,액션",프로듀서,0.0,33924.0,,
