,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,환절기,In Between Seasons,2018,한국,드라마,주연,52955000.0,6592.0,52955000.0,6592.0
1,대립군,WARRIORS OF THE DAWN,2017,한국,"드라마,사극",조연,6276963402.0,837500.0,6276963402.0,837500.0
2,사도,The Throne,2014,한국,사극,조연,48842902501.0,6246849.0,48846045501.0,6247651.0
3,제보자,The Whistleblower,2014,한국,드라마,조연-이성호 팀장역,13515762802.0,1755181.0,13515762802.0,1755181.0
4,스톤,The Stone,2012,한국,"액션,드라마",주연,121122400.0,18061.0,121122400.0,18061.0
5,사랑해! 진영아,"My Dear Girl, Jin-young",2012,한국,드라마,주연,34675000.0,4936.0,34720000.0,4941.0
6,7번방의 선물,Miracle in Cell No.7,2012,한국,"코미디,드라마",주연-춘호역,91431914670.0,12811206.0,91433282670.0,12811435.0
7,남영동1985,National Security,2012,한국,드라마,주연-김종태역,2358629601.0,332619.0,2358707101.0,332643.0
8,두 개의 달,The Sleepless,2012,한국,공포(호러),주연,2949348748.0,426706.0,2949348748.0,426706.0
9,부러진 화살,Unbowed,2011,한국,드라마,주연-박준역,25936754000.0,3459780.0,25938096000.0,3460212.0
10,사라진 밤,Vanished Night,2011,한국,드라마,주연-형사역,,,,
11,수상한 이웃들,Funny Neighbors,2010,한국,드라마,주연,10946500.0,1491.0,14215000.0,2254.0
12,내 깡패 같은 애인,My Dear Desperado,2010,한국,"드라마,코미디,멜로/로맨스",조연-종서역,5109441315.0,699973.0,5028520000.0,688639.0
13,황금시대,Short! Short! Short! 2009: Show Me The Money,2009,한국,드라마,주연,27121339.0,3779.0,26839500.0,3739.0
14,날아라 펭귄,Fly Penguin,2008,한국,드라마,주연-승윤 부역,144886101.0,20599.0,143376000.0,20380.0
15,어린 왕자,The Little Prince,2007,한국,드라마,주연,493292500.0,84015.0,493278500.0,83354.0
16,우리 생애 최고의 순간,Forever The Moment,2007,한국,드라마,"단역-미숙의 남편, 규철역",26151780425.0,4044582.0,26119898000.0,4018872.0
17,"안녕, 형아",Little Brother,2004,한국,드라마,주연,0.0,1143136.0,5614875500.0,924019.0
18,알포인트,R - Point,2004,한국,전쟁,주연-마원균 병장 역,0.0,1689000.0,6793688000.0,1068362.0
19,범죄의 재구성,The Big Swindle,2004,한국,스릴러,조연,0.0,2129358.0,6133498700.0,942303.0
20,와이키키 브라더스,Waikiki Brothers,2001,한국,드라마,주연-정석역,0.0,88214.0,1648900.0,263.0
21,나는 왜 권투심판이 되려 하는가,Why Do I Want To Be A Boxing Referee,2000,한국,"코미디,드라마",주연-혁신역,,,,
