,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,엄마의 유혹,,2018,한국,멜로/로맨스,주연,,,465000.0,69.0
1,스와핑 : 친구의 아내 2,,2018,한국,멜로/로맨스,주연,,,470000.0,69.0
2,연애 : 엄마친구,,2018,한국,멜로/로맨스,주연,,,470000.0,69.0
3,내 학생의 엄마 3,,2018,한국,멜로/로맨스,주연,,,,
4,형수의 직업_무삭제판,,2017,한국,,주연,6000.0,1.0,6000.0,1.0
5,원정여행,,2017,한국,멜로/로맨스,주연-미란역,937000.0,177.0,937000.0,177.0
6,형수의 직업,,2017,한국,"멜로/로맨스,성인물(에로)",주연-서연역,913000.0,170.0,913000.0,170.0
7,더티웨딩,DIRTY WEDDING,2017,한국,멜로/로맨스,주연-미란역,,,,
8,아내의 동영상,,2016,한국,멜로/로맨스,주연,955000.0,189.0,955000.0,189.0
9,엄마친구2 무삭제,,2016,한국,드라마,주연,5000.0,1.0,5000.0,1.0
10,젊은 형부 무삭제판,,2016,한국,멜로/로맨스,주연-미연역,300000.0,60.0,300000.0,60.0
11,음란 과외 - 무삭제판,,2016,한국,멜로/로맨스,주연,842000.0,165.0,842000.0,165.0
12,음란 과외,,2016,한국,멜로/로맨스,주연,5000.0,1.0,5000.0,1.0
13,타는 여자,,2016,한국,멜로/로맨스,주연,907000.0,168.0,907000.0,168.0
14,맛 2016: 삼시색기- 무삭제판,,2016,한국,멜로/로맨스,주연,842000.0,165.0,842000.0,165.0
15,맛 2016: 삼시색기,,2016,한국,멜로/로맨스,주연,4000.0,1.0,4000.0,1.0
16,젊은 형부,,2016,한국,멜로/로맨스,주연-미연역,734000.0,133.0,734000.0,133.0
17,침대렐라,,2016,한국,멜로/로맨스,주연,910000.0,168.0,910000.0,168.0
