,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,잭과 자이언트 킬러 2014,Jack the Giant Killer,2013,미국,"SF,액션,판타지",주연,40000.0,10.0,40000.0,10.0
1,라이브 테러,A Common Man,2013,"미국,기타","액션,스릴러",주연,,,,
2,슈퍼 탱커,Super Tanker,2011,미국,"SF,액션",주연,,,,
3,그렌델,Grendel,2007,미국,"드라마,판타지,SF",주연-흐로스가 왕 역역,,,,
4,스피시즈 4,Species : The Awakening,2007,미국,"공포(호러),SF,스릴러",주연,,,,
5,레드 리벤져,The Mechanik,2005,"독일,미국","액션,드라마,스릴러",주연,,,,
6,솔로몬,Solomon,1997,"영국,체코,프랑스,이탈리아,독일,미국","어드벤처,드라마",주연,,,,
7,인베이더,The Invader,1996,미국,"SF,액션,스릴러",주연,0.0,1087.0,,
8,카멜롯의 전설,First Knight,1994,미국,"사극,드라마",주연,0.0,137852.0,174000.0,58.0
9,아내의 남자친구,Cold Sweat,1993,캐나다,드라마,주연,0.0,5154.0,,
10,SAS미망인의 눈,Eye Of The Widow,1991,프랑스,"액션,스릴러",주연,0.0,26886.0,,
11,관심,The Lie,1984,이탈리아,드라마,주연,0.0,15315.0,,
12,불의 전차,Chariots Of Fire,1981,영국,드라마,주연,,,393622100.0,58197.0
