,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,스페셜 시큐리티 : 라스트 미션,Security,2017,미국,"액션,범죄,스릴러",주연,69000.0,28.0,69000.0,28.0
1,아우토반,Autobahn,2016,"영국,독일","액션,스릴러",주연,183681500.0,23338.0,196841500.0,24983.0
2,정글북,The Jungle Book,2015,미국,"어드벤처,드라마",주연,21517513134.0,2537419.0,21517647134.0,2537438.0
3,하늘을 걷는 남자,The Walk,2015,미국,드라마,주연,2267273653.0,238257.0,2268499653.0,238439.0
4,라이프,Life,2015,"캐나다,독일,오스트리아 ,미국",드라마,주연,155668185.0,19596.0,155800185.0,19616.0
5,셀프/리스,Self/less,2015,미국,"SF,액션,스릴러",주연,874447764.0,111127.0,874447764.0,111127.0
6,히든 아이덴티티,Eliza Graves,2014,미국,"미스터리,스릴러",조연,17978000.0,2430.0,17978000.0,2430.0
7,로봇 오버로드,Robot Overlords,2014,영국,"SF,액션",주연-로빈 스마이스역,988000.0,189.0,988000.0,189.0
8,인생면허시험,Learning to Drive,2014,미국,"드라마,멜로/로맨스",주연,19244500.0,2325.0,19244500.0,2325.0
9,박물관이 살아있다 : 비밀의 무덤,Night at the Museum: Secret of the Tomb,2014,"미국,영국","어드벤처,코미디,가족",주연,8170784606.0,1101678.0,8170784606.0,1101678.0
10,엑소더스: 신들과 왕들,Exodus: Gods and Kings,2014,"미국,영국,스페인",드라마,주연,12448333926.0,1511845.0,12448333926.0,1511845.0
11,박스트롤,The Boxtrolls,2014,미국,"애니메이션,가족,어드벤처,코미디",주연(목소리),731976100.0,102682.0,731976100.0,102682.0
12,마블원샷: 올 헤일 더 킹,Marvel One-Shot: All Hail the King,2014,미국,"액션,SF",주연-트레버 슬래터리 역역,,,,
13,엔더스 게임,Ender's Game,2013,미국,"SF,액션,어드벤처",주연,4925056000.0,654212.0,4925056000.0,654212.0
14,아이언맨 3,Iron Man 3,2013,미국,"액션,어드벤처,SF",주연-만다린역,70806191000.0,9001309.0,70806364000.0,9001331.0
15,라이브 테러,A Common Man,2013,"미국,기타","액션,스릴러",주연,,,,
16,페르시아의 왕자: 시간의 모래,Prince Of Persia: The Sands Of Time,2010,미국,"액션,어드벤처,판타지",주연,14717552534.0,2003533.0,14483501000.0,1970823.0
17,엘레지,Elegy,2008,미국,"드라마,멜로/로맨스",주연-데이빗 키페시역,59863403.0,8737.0,60721000.0,8915.0
18,더 웩크니스,The Wackness,2008,미국,"코미디,드라마",주연,,,,
19,피프티 데드 멘 워킹,Fifty Dead Men Walking,2008,"영국,캐나다",스릴러,주연,,,,
20,마지막 군단,The Last Legion,2007,"영국,이탈리아,프랑스,총괄(연감)","액션,어드벤처,판타지",주연,187000.0,29.0,193000.0,30.0
21,십계,The Ten Commandments,2007,미국,애니메이션,주연-나레이터 역(목소리),,,,
22,유 킬 미,You Kill Me,2007,미국,"코미디,범죄,멜로/로맨스",주연,,,,
23,트랜스 시베리아,Transsiberian,2007,"스페인,독일,영국","범죄,드라마,미스터리,스릴러",주연-그린코역,,,0.0,0.0
24,타임코드,A Sound of Thunder,2005,미국,"SF,액션",주연-찰스 하튼역,2481000.0,312.0,2481000.0,312.0
25,올리버 트위스트,Oliver Twist,2005,체코,드라마,주연,0.0,1188.0,7963000.0,1189.0
26,해리스 부인,Mrs. Harris,2005,미국,드라마,주연,,,,
27,서스펙트 제로,Suspect Zero,2004,미국,공포(호러),주연,0.0,4933.0,28196000.0,4918.0
28,썬더버드,Thunderbirds,2004,"영국,프랑스","SF,어드벤처",주연,,,,
29,모래와 안개의 집,House Of Sand And Fog,2003,미국,드라마,주연,0.0,10987.0,22249000.0,3404.0
30,사랑의 승리,The Triumph Of Love,2001,"이탈리아,영국","코미디,멜로/로맨스",주연,,,,
31,너 어느 별에서 왔니?,What Planet Are You From?,2000,미국,"코미디,SF",주연-그레이든역,0.0,22551.0,,
32,섹시 비스트,Sexy Beast,2000,"영국,스페인","범죄,드라마",주연,,,,
33,이상한 나라의 앨리스,Alice In Wonderland,1999,미국,"어드벤처,코미디,판타지",주연,,,,
34,알렉볼드윈의 컨페션,The Confession,1998,미국,"범죄,드라마,스릴러",주연,0.0,158.0,,
35,십이야,TWELFTH NIGHT: OR WHAT YOU WILL,1996,"영국,미국","사극,코미디",주연,0.0,1472.0,134000.0,67.0
36,모세,Moses,1996,미국,"사극,드라마,어드벤처",주연-모세 역역,,,,
37,스피시즈,Species,1995,미국,SF,주연,0.0,81961.0,,
38,시고니 위버의 진실,Death And The Maiden,1994,미국,스릴러,주연,0.0,25395.0,,
39,쉰들러 리스트,Schindler'S List,1993,미국,"드라마,사극,전쟁",주연-잇자크 스턴 역,0.0,847259.0,,
40,스니커즈,Sneakers,1992,미국,"코미디,액션,드라마",주연,0.0,55685.0,,
41,하렘,Harem,1985,프랑스,드라마,주연,0.0,14387.0,,
42,간디,Gandhi,1982,영국,"드라마,사극",주연,0.0,265236.0,207000.0,69.0
