,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,로스트 인 더스트,Hell or High Water,2016,미국,"범죄,드라마",주연,633772822.0,81236.0,639384322.0,81966.0
1,인페르노,Inferno,2016,"미국,일본,터키,헝가리","미스터리,스릴러",주연,5656281303.0,689071.0,5656281303.0,689071.0
2,워크래프트: 전쟁의 서막,Warcraft,2016,미국,"액션,어드벤처,판타지",주연,10142271205.0,1163274.0,10142271205.0,1163274.0
3,챔피언 프로그램,The Program,2015,"영국,프랑스",드라마,주연,48323400.0,6301.0,48323400.0,6301.0
4,론 서바이버,Lone Survivor,2013,미국,"액션,드라마,스릴러",주연,1433147820.0,190611.0,1433147820.0,190611.0
5,"러브, 마릴린","Love, Marilyn",2012,미국,다큐멘터리,주연,,,,
6,램파트,RAMPART,2011,미국,"범죄,드라마",주연-제너럴 테리역,,,,
7,메카닉,The Mechanic,2010,미국,"드라마,액션,스릴러",주연,1666463000.0,217077.0,1666463000.0,217077.0
8,팬도럼,Pandorum,2009,"독일,영국","액션,공포(호러),SF,스릴러",주연-보워 역,1241613605.0,163494.0,1223107000.0,161070.0
9,버드 오브 아메리카,Birds of America,2008,미국,"코미디,드라마",주연,,,,
10,알파독,Alpha Dog,2006,미국,"드라마,범죄",주연,648950794.0,99692.0,655519000.0,100602.0
11,"뱅, 뱅, 넌 죽었다","Bang, Bang, You're Dead",2002,"미국,캐나다","범죄,드라마,스릴러",주연,,,,
12,겟오버잇,Get Over It,2001,미국,"뮤지컬,코미디,멜로/로맨스",주연,,,,
13,리버티 하이츠,Liberty Heights,1999,미국,드라마,주연,,,,
