,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,어벤져스: 인피니티 워,Avengers: Infinity War,2018,미국,"액션,어드벤처,판타지,SF",주연,99825741869.0,11202737.0,99918419769.0,11211798.0
1,가디언즈 오브 갤럭시 VOL. 2,Guardians of the Galaxy VOL. 2,2017,미국,"액션,SF",주연,23452686686.0,2735721.0,23452686686.0,2735721.0
2,조이,Joy,2015,미국,"코미디,드라마",주연,1377567200.0,172198.0,1378007200.0,172253.0
3,더 셰프,Burnt,2015,미국,드라마,주연,1487172148.0,187122.0,1487412148.0,187152.0
4,알로하,Aloha,2015,미국,"코미디,드라마,멜로/로맨스",주연-브라이언 역역,,,,
5,세레나,Serena,2014,"미국,프랑스,체코",드라마,주연,36339000.0,4726.0,36339000.0,4726.0
6,아메리칸 스나이퍼,American Sniper,2014,미국,액션,주연,2808488438.0,345759.0,2808488438.0,345759.0
7,가디언즈 오브 갤럭시,Guardians of the Galaxy,2014,미국,"액션,어드벤처,SF",주연,11098239184.0,1311190.0,11390817684.0,1344319.0
8,아메리칸 허슬,American Hustle,2013,미국,"범죄,드라마",주연-리치 디마소역,1195060400.0,155374.0,1196970170.0,155669.0
9,플레이스 비욘드 더 파인즈,The Place Beyond the Pines,2013,미국,"범죄,드라마",주연-에이버리 크로스역,160733500.0,21694.0,161422500.0,21778.0
10,행오버3,The Hangover Part III,2013,미국,코미디,주연,,,,
11,실버라이닝 플레이북,The Silver Linings Playbook,2012,미국,"멜로/로맨스,코미디,드라마",주연-팻 솔리타노역,944699500.0,126420.0,956492500.0,128057.0
12,더 스토리: 세상에 숨겨진 사랑,The Words,2012,미국,"드라마,스릴러,멜로/로맨스",주연-로리역,267561500.0,36849.0,268881500.0,37025.0
13,히트 앤 런,Hit & Run,2012,미국,"액션,코미디",주연,,,,
14,리미트리스,Limitless,2011,미국,"미스터리,스릴러,액션","주연,기획",870473000.0,121538.0,870473000.0,121538.0
15,행오버 2,The Hangover Part II,2011,미국,코미디,주연-필 역,473137500.0,60048.0,473137500.0,60048.0
16,A-특공대,The A-Team,2010,미국,액션,주연,5890424042.0,791173.0,5795794000.0,777985.0
17,발렌타인 데이,Valentine'S Day,2009,미국,"멜로/로맨스,코미디",주연,1337699931.0,172997.0,1314085500.0,169529.0
18,행오버,The Hangover,2009,미국,"코미디,범죄",주연,,,,
19,뉴욕 아이 러브 유,"New York, I Love You",2008,미국,"코미디,드라마,멜로/로맨스",주연-거스 역,647982325.0,83600.0,638301000.0,82356.0
20,미드나잇 미트 트레인,The Midnight Meat Train,2008,미국,"공포(호러),범죄,스릴러",주연,1965440000.0,290334.0,1965662500.0,290363.0
