,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,폭력의 근원,American Violence,2017,미국,"범죄,스릴러",주연,3000.0,1.0,3000.0,1.0
1,헤이트풀8,The Hateful Eight,2015,미국,"액션,스릴러,서부극(웨스턴)",주연,1004048400.0,121278.0,1004847900.0,121400.0
2,트윅스트,Twixt,2011,미국,"공포(호러),스릴러",주연-바비역,,,1677000.0,256.0
3,글래스하우스,THE GLASS HOUSE,2001,미국,"스릴러,액션",주연,0.0,1261.0,,
4,매디슨,Madison,2001,미국,드라마,주연,,,,
5,라스트맨 스탠딩,Last Man Standing,1996,미국,"액션,드라마,범죄",주연,0.0,201972.0,129000.0,43.0
6,리벤지,Dead Man's Revenge,1994,미국,서부극(웨스턴),주연,,,,
7,미드나잇 스팅,Midnight Sting,1992,미국,코미디,주연,,,,
8,귀향,Coming Home,1978,미국,"드라마,전쟁",주연-밥 역역,,,,
9,드라이버,The Driver,1978,미국,"액션,범죄",주연,,,,
10,디제스타,Air Borne Disaster,1977,미국,"액션,드라마,스릴러",주연,0.0,4947.0,,
11,블랙 선데이,Black Sunday,1977,미국,"액션,스릴러",주연,,,,
12,부르주아의 어리석음,Folies bourgeoises,1976,"프랑스,이탈리아,서독",코미디,주연,,,338000.0,56.0
13,11인의 카우보이,The Cowboys,1972,미국,"드라마,서부극(웨스턴)",주연,0.0,56572.0,,
14,허쉬 허쉬 스윗 샬롯,"Hush... Hush, Sweet Charlotte",1964,미국,"공포(호러),스릴러,드라마",조연,,,1470000.0,220.0
