,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,인디펜던스 데이 : 리써전스,Independence Day: Resurgence,2016,미국,"액션,어드벤처,SF",주연,12770879840.0,1500830.0,12770879840.0,1500830.0
1,6 웨이 투 다이,6 Ways To Die,2015,미국,"액션,스릴러",주연,15285000.0,3057.0,16890000.0,3378.0
2,살인게임,Terms & Condition,2015,미국,"액션,스릴러",주연,5000.0,1.0,5000.0,1.0
3,샤크스톰 2 : 샤크네이도,SHARKNADO 2,2014,미국,"공포(호러),SF",주연,5000.0,1.0,5000.0,1.0
4,외인부대 : 암살자들,Mercenaries,2014,미국,"액션,어드벤처",주연,5000.0,1.0,5000.0,1.0
5,메리 크리스마스,So This Is Christmas,2013,미국,"코미디,드라마",주연,,,,
6,솔리드 스테이트,Solid State,2012,"미국,이탈리아","액션,공포(호러),SF",주연-폭스 역역,,,,
7,하드코 : 라스트 미션,The Hard Corps,2006,미국,"액션,스릴러",주연-타마라 바클레이역,,,,
8,살롱,The Salon,2005,,,주연,,,,
9,라이드 오어 다이,Ride Or Die,2003,미국,"액션,범죄",주연,,,,
10,슈팅 히어로 주와나,Juwanna Mann,2002,미국,코미디,주연,,,,
11,킹덤 컴,Kingdom Come,2001,미국,코미디,주연,,,,
12,투 캔 플레이 댓 게임,Two Can Play That Game,2001,미국,"코미디,멜로/로맨스",주연,,,,
13,바보들의 사랑,Why Do Fools Fall In Love,1998,미국,드라마,주연,,,,
14,솔로몬,Solomon,1997,"영국,체코,프랑스,이탈리아,독일,미국","어드벤처,드라마",주연,,,,
