,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,F.O.E.: 에프.오.이.,Force of Execution,2013,미국,액션,주연,2000.0,1.0,2000.0,1.0
1,마피아,Mafia,2012,미국,"액션,범죄",주연,112000.0,16.0,112000.0,16.0
2,세븐 빌로우,7 BELOW,2012,미국,"스릴러,공포(호러)",조연,1200000.0,80.0,1200000.0,80.0
3,피라냐 3DD 확장판,Piranha 3DD,2012,미국,"공포(호러),코미디,스릴러",주연-팰론역,,,,
4,월드 워 좀비,Zombie Apocalypse,2011,"미국,영국","공포(호러),액션",주연,2959000.0,493.0,2959000.0,493.0
5,피라냐 3DD,Piranha 3DD,2011,미국,"공포(호러),스릴러,코미디",주연,646211500.0,74576.0,646251500.0,74586.0
6,피라냐,Piranha 3D,2010,미국,"액션,공포(호러),스릴러",주연-보안관 역,5756700191.0,515074.0,5661943500.0,505875.0
7,마스터 해롤드,'Master Harold' ... And the Boys,2010,남아프리카공화국,드라마,주연-샘 역역,,,,
8,"기브 앰 헬, 말론","Give 'em Hell, Malone",2009,미국,"액션,스릴러,범죄",조연-볼더역,500000.0,100.0,500000.0,100.0
9,기프트,Echelon Conspiracy,2009,미국,"액션,스릴러,미스터리",주연-데이브 그랜트 요원역,996472520.0,148138.0,981337000.0,145894.0
10,세이빙 갓,Saving God,2008,캐나다,"범죄,드라마",주연,,,,
11,슈팅 갤러리,The Shooting Gallery,2005,미국,"범죄,스릴러",주연,,,,
12,새벽의 저주,Dawn Of The Dead,2004,"미국,캐나다,일본,프랑스","공포(호러),스릴러",주연-케네스역,0.0,300000.0,694533500.0,106515.0
13,게리 올드만의 씬,Sin,2003,미국,"범죄,드라마,스릴러",주연,,,,
14,언디스 퓨티드,Undisputed,2002,미국,"액션,드라마",주연,0.0,53450.0,,
15,아메리칸 트레져디,American Tragedy,2000,미국,범죄,주연,,,,
