,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,경심파,Heartfall Arises,2016,홍콩,"액션,스릴러",주연,132000.0,59.0,132000.0,59.0
1,미스터 쉐프,Cook Up A Storm,2016,중국,"드라마,코미디",주연,3984000.0,652.0,4054000.0,662.0
2,정 검-금의위,The Spirit of the Swords,2015,중국,"액션,드라마",주연,313000.0,70.0,313000.0,70.0
3,구화영웅,As the light goes out,2013,중국,"코미디,드라마",주연,1245000.0,600.0,1245000.0,600.0
4,주윤발의 도성풍운,From Vegas to Macau,2013,홍콩,"액션,코미디",주연,8890000.0,1556.0,8890000.0,1556.0
5,중화 명탐정,The Bullet Vanishes,2013,중국,"액션,스릴러",주연,10368000.0,2673.0,10368000.0,2673.0
6,바이럴 팩터,The Viral Factor,2012,홍콩,액션,주연,190000.0,42.0,190000.0,42.0
7,비스트 스토커 2 - <증인> 두 번째 이야기,Stool Pigeon,2010,홍콩,"액션,드라마,스릴러",주연,287514.0,49.0,283000.0,48.0
8,8인: 최후의 결사단,Bodyguards And Assassins,2009,중국,"액션,사극",주연,878708580.0,116788.0,864912500.0,114929.0
9,풍운결,STORM RIDER – CLASH OF EVILS,2008,홍콩,"애니메이션,액션,판타지",주연,3560000.0,1490.0,3560000.0,1490.0
10,비스트 스토커,The Beast Stalker,2008,홍콩,"액션,스릴러",주연-아비(당비) 역역,,,,
11,남아본색,Invisible Target,2007,"홍콩,중국","액션,범죄",주연-아진역,,,,
12,용호문,Dragon Tiger Gate,2006,홍콩,액션,주연,0.0,71454.0,415649000.0,68507.0
13,삼장법사의 모험,A Chinese Tall Story,2005,"홍콩,중국","액션,코미디",주연,,,,
14,신찰사형,Moving Targets,2005,홍콩,액션,주연,,,,
15,뉴 폴리스 스토리,New Police Story,2004,홍콩,액션,주연,0.0,423487.0,2138776000.0,341510.0
16,옥관음,Goddess of Mercy,2003,홍콩,"액션,멜로/로맨스",주연,,,,
17,연애행성,Tiramisu,2002,홍콩,"판타지,멜로/로맨스",주연,,,,
18,노부자 2001,Master Q 2001,2001,홍콩,액션,주연,,,,
19,아적야만동학,My Schoolmate The Barbarian,2001,홍콩,"코미디,액션",주연,,,,
20,환영경찰,PUNISHMENT,2001,홍콩,"공포(호러),멜로/로맨스,코미디",주연,,,,
21,히어로즈 인 러브,Heroes In Love,2001,홍콩,"드라마,멜로/로맨스",감독,,,,
22,십이야,Twelve Nights,2000,홍콩,멜로/로맨스,주연-킷트역,0.0,46348.0,,
23,순류역류,Time And Tide,2000,홍콩,"액션,스릴러,범죄",주연-타일러역,0.0,6895.0,,
24,대영가,Winner Takes All,2000,홍콩,코미디,주연,,,,
25,젠엑스 캅,Gen-X Cops,1999,홍콩,"스릴러,액션,코미디",주연-잭역,0.0,4072.0,1980000.0,356.0
26,중화영웅,A Man Called Hero,1999,중국,"액션,어드벤처,드라마",주연,0.0,77798.0,,
27,마경,The Mirror,1999,홍콩,"공포(호러),미스터리,범죄",주연,,,,
28,반지연,Metade Fumaca,1999,홍콩,"드라마,멜로/로맨스",주연,,,,
29,홍등구,Street Angels,1999,홍콩,드라마,주연,,,,
