,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,오션스8,Ocean's 8,2018,미국,"액션,범죄",주연,10978328166.0,1252385.0,11700157266.0,1335829.0
1,미니언즈,Minions,2015,미국,애니메이션,주연(목소리),18997911278.0,2625572.0,18998384278.0,2625636.0
2,그래비티,Gravity,2013,미국,"SF,드라마",주연,31484135600.0,3227452.0,31498764600.0,3228271.0
3,더 히트,The Heat,2013,미국,"액션,코미디,범죄",주연-사라 애쉬번 역역,,,,
4,엄청나게 시끄럽고 믿을 수 없게 가까운,Extremely Loud and Incredibly Close,2012,미국,드라마,주연,,,,
5,블라인드 사이드,The Blind Side,2010,미국,드라마,주연,2643699147.0,359899.0,2613051000.0,355516.0
6,프로포즈,The Proposal,2009,미국,"멜로/로맨스,코미디,드라마",주연-마가렛 테이트역,2481694139.0,328767.0,2442083500.0,323707.0
7,올 어바웃 스티브,All About Steve,2009,미국,코미디,주연,,,,
8,프리모니션,Premonition,2007,미국,"드라마,스릴러",주연,,,,
9,레이크 하우스,The Lake House,2006,미국,"멜로/로맨스,드라마",주연-케이트 포스터역,0.0,152670.0,850334000.0,133961.0
10,인퍼머스,Infamous,2006,미국,드라마,주연,,,,
11,미스 에이전트2 : 라스베가스 잠입사건,Miss Congeniality 2: Armed And Fabulous,2005,미국,"액션,코미디",주연,0.0,150300.0,890738500.0,139358.0
12,크래쉬,Crash,2004,미국,"드라마,범죄,미스터리",주연-백인 지방 검사의 아내 - 진 카봇역,0.0,152617.0,907041100.0,142833.0
13,투 윅스 노티스,Two Weeks Notice,2002,미국,"멜로/로맨스,코미디",주연,0.0,362000.0,,
14,머더 바이 넘버,Murder By Numbers,2002,미국,스릴러,주연,0.0,64200.0,,
15,산드라 블록의 행복한 비밀,Divine Secrets Of The Ya-Ya Sisterhood,2002,미국,"코미디,드라마",주연,,,,
16,미스 에이전트,Miss Congeniality,2000,미국,"액션,코미디",주연,0.0,182909.0,,
17,건 샤이,Gun Shy,2000,미국,"코미디,범죄,멜로/로맨스",주연,,,,
18,28일동안,28 Days,1999,미국,드라마,주연-그웬 커밍스역,0.0,9605.0,,
19,포스 오브 네이처,Forces Of Nature,1998,미국,"코미디,멜로/로맨스",주연,0.0,100572.0,,
20,이집트 왕자,THe Prince Of Egypt,1998,미국,"애니메이션,드라마,가족",주연-미리암역(목소리),0.0,613973.0,,
21,프랙티컬 매직,Practical Magic,1998,미국,"드라마,미스터리,판타지,멜로/로맨스",주연,0.0,72170.0,,
22,사랑이 다시 올 때,Hope Floats,1998,미국,"멜로/로맨스,코미디",주연,0.0,28018.0,,
23,스피드 2,Speed 2 : Cruise Control,1997,미국,"액션,스릴러",주연,0.0,250819.0,,
24,러브앤워,In Love And War,1996,미국,"멜로/로맨스,전쟁",주연,0.0,42865.0,255000.0,85.0
25,타임 투 킬,A Time To Kill,1996,미국,"스릴러,드라마",주연,0.0,269408.0,,
26,투 이프 바이 씨,Two If By Sea,1995,미국,코미디,주연,0.0,22137.0,,
27,네트,The Net,1995,미국,스릴러,주연,0.0,115636.0,,
28,당신이 잠든 사이에,While You Were Sleeping,1994,미국,코미디,주연,0.0,201119.0,,
29,스피드,Speed,1994,미국,"스릴러,액션",주연,0.0,874225.0,,
30,러브 포션 넘버9,Love Potion #9,1993,미국,"멜로/로맨스,코미디",주연,0.0,1873.0,,
31,화이어 아마존,Fire On The Amazon,1991,미국,"액션,어드벤처",주연,0.0,127.0,,
