,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,샤룩칸의 팬,Fan,2015,"인도,크로아티아","액션,스릴러,드라마",주연-가라브찬다/아리안칸나 역역,386000.0,109.0,392000.0,110.0
1,첸나이 익스프레스,Chennai Express,2013,인도,"액션,코미디,멜로/로맨스",주연,,,,
2,천재 사기꾼 돈: 세상을 속여라,Don2,2011,인도,"액션,스릴러,범죄",주연,168000.0,36.0,168000.0,36.0
3,내 이름은 칸,My Name Is Khan,2010,인도,드라마,주연-리즈완 칸역,2820922500.0,381243.0,2821380000.0,381334.0
4,빌루,Billu,2009,인도,"코미디,드라마",주연,,,,
5,그 남자의 사랑법,A Couple Made By God,2008,인도,"멜로/로맨스,코미디",주연,31305500.0,4103.0,31305500.0,4103.0
6,옴 샨티 옴,Om Shanti Om,2007,인도,"멜로/로맨스,액션",주연,11958000.0,1558.0,12364200.0,1627.0
7,파이팅! 인도,Chak De India,2007,인도,드라마,주연,,,752000.0,188.0
8,파헬리,Paheli,2005,인도,"판타지,뮤지컬",주연,,,,
9,메후나,Main Hoon Na,2004,인도,"뮤지컬,액션",주연-람 소령 역역,,,,
10,비르와 자라,Veer-Zaara,2004,인도,"드라마,멜로/로맨스,뮤지컬",주연,,,195000.0,100.0
11,스와데스,Swades,2004,인도,드라마,주연,,,,
12,우리는 진정한 인도인,Chalte Chalte,2003,인도,"드라마,멜로/로맨스",주연-라즈 마투르 역역,,,,
13,나는 그대의 것,Hum Tumhare Hain Sanam,2002,인도,"드라마,멜로/로맨스",주연,,,,
14,데브다스,Devdas,2002,인도,"뮤지컬,멜로/로맨스",주연,,,,
15,까삐꾸씨 까삐깜,"Sometimes Happy, Sometimes Sad",2001,인도,"뮤지컬,코미디,멜로/로맨스",주연,,,,
16,아소카,Asoka,2001,인도,액션,주연,,,,
17,조쉬,Josh,2000,인도,"액션,드라마,뮤지컬,멜로/로맨스",주연,,,,
18,카레가,Har Dil Jo Pyar Karega...,2000,인도,"드라마,뮤지컬,멜로/로맨스",조연,,,,
19,헤이 람,Hey Ram,2000,인도,"드라마,사극",주연,,,,
20,나는 테러리스트를 사랑했다,From The Heart,1998,인도,"드라마,멜로/로맨스,뮤지컬",주연,,,,
21,코일라,Koyla,1997,인도,"액션,코미디,범죄,드라마",주연,,,,
22,용감한 자가 신부를 데려가리,The Big-Hearted Will Win the Bride,1995,인도,"코미디,가족,멜로/로맨스",주연-라즈 역역,,,,
