,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,보리 vs 매켄로,Borg/McEnroe,2017,"스웨덴,덴마크,핀란드",드라마,주연,78940433.0,9215.0,78940433.0,9215.0
1,아메리칸 허니: 방황하는 별의 노래,American Honey,2016,"영국,미국",드라마,주연,69274300.0,8647.0,73178300.0,9134.0
2,퓨리,Fury,2014,"미국,영국","액션,드라마,전쟁",주연,10367640686.0,1362114.0,10367640686.0,1362114.0
3,님포매니악 감독판 볼룸 1&2,Nymphomaniac Director’s Cut Vol. 1&2,2014,"덴마크,벨기에,프랑스,영국",드라마,주연,,,1183400.0,180.0
4,찰리 컨트리맨,The Necessary Death of Charlie Countryman,2013,"미국,루마니아","코미디,멜로/로맨스,액션",주연,34601538.0,4692.0,34601538.0,4692.0
5,님포매니악 볼륨2,Nymphomaniac vol.2,2013,"덴마크,벨기에,프랑스,독일,영국","드라마,미스터리",주연,201869933.0,24380.0,202108933.0,24424.0
6,님포매니악 볼륨1,Nymphomaniac vol.1,2013,"덴마크,독일,프랑스,벨기에,영국",드라마,주연,479242383.0,60265.0,479491383.0,60311.0
7,컴퍼니 유 킵,The Company You Keep,2012,미국,스릴러,주연-벤 쉐파드역,13694000.0,2134.0,13925000.0,2173.0
8,로우리스: 나쁜 영웅들,Lawless,2012,미국,"액션,범죄",주연,468141666.0,66468.0,468390166.0,66504.0
9,트랜스포머 3,Transformers :The Dark Side of the Moon,2011,미국,"액션,어드벤처",주연-샘 윗윅키 역,74841350500.0,7784807.0,74842906588.0,7785189.0
10,월 스트리트: 머니 네버 슬립스,Wall Street 2: Money Never Sleeps,2010,미국,"드라마,범죄,스릴러",주연-제이콥 무어역,1788986817.0,245343.0,1760899000.0,241438.0
11,트랜스포머: 패자의 역습,Transformers: Revenge Of The Fallen,2009,미국,"SF,액션,어드벤처",주연-샘 윗윅키역,51478531663.0,7505700.0,50699866000.0,7393443.0
12,뉴욕 아이 러브 유,"New York, I Love You",2008,미국,"코미디,드라마,멜로/로맨스",주연-제이콥 역,647982325.0,83600.0,638301000.0,82356.0
13,이글 아이,Eagle Eye,2008,미국,"액션,스릴러,미스터리",주연-제리 쇼역,14577167667.0,2258369.0,14869812500.0,2292172.0
14,인디아나 존스 4 : 크리스탈 해골의 왕국,Indiana Jones And The Kingdom Of The Crystal Skull,2008,미국,"액션,어드벤처",주연-머트 윌리엄스역,26693951667.0,4136101.0,26689440000.0,4111753.0
15,디스터비아,Disturbia,2007,미국,스릴러,주연-케일역,0.0,583993.0,3790837500.0,576120.0
16,서핑 업,Surf`s Up,2007,미국,"애니메이션,드라마,액션,가족",주연-코디 매버릭역(목소리),0.0,294702.0,1672015500.0,282862.0
17,트랜스포머,Transformers,2007,미국,"SF,액션,어드벤처",주연-샘 윗윅키역,0.0,7440531.0,47710604338.0,7402732.0
18,바비,Bobby,2006,미국,드라마,주연-쿠퍼 역,22454545.0,2867.0,22102000.0,2821.0
19,당신의 성인을 알아보는 법,A Guide to Recognizing Your Saints,2006,미국,"범죄,드라마",주연-어린 디토 역역,,,,
20,내 생애 최고의 경기,The Greatest Game Ever Played,2005,미국,드라마,주연,,,,
21,배틀 오브 쉐이커 하이츠,The Battle Of Shaker Heights,2003,미국,"드라마,멜로/로맨스",주연,,,,
