,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,서태지밴드 콘서트투어 '콰이어트나이트',Seotaiji Band Concert Tour 'Quiet Night',2015.0,한국,공연,"감독,주연",52669600.0,5908.0,52669600.0,5908.0
1,이티피 페스티벌 08X09 서태지,ETP FESTIVAL 08X09 SEOTAIJI,2013.0,한국,공연,"감독,주연",26632000.0,2764.0,26632000.0,2764.0
2,서태지 8집: 398일의 기록,SEOTAIJI RECORD OF THE 8TH [398],2012.0,한국,다큐멘터리,"감독,주연,제작",43754500.0,5326.0,43754500.0,5326.0
3,서태지 모아이 : 더 필름,SEOTAIJI MOAI : THE FILM,2011.0,한국,다큐멘터리,"감독,주연",,,76396000.0,7680.0
4,서태지밴드 라이브 투어 <더 뫼비우스>,SEOTAIJIBAND LIVE TOUR The Mobius,2010.0,한국,"다큐멘터리,공연","감독,프로듀서,시나리오(각본)",259638481.0,34688.0,267716000.0,35514.0
5,2008 서태지 심포니 앙코르,2008 Seotaiji Symphony Encore,2010.0,한국,기타,감독,,,6887000.0,837.0
6,2008 서태지 심포니 위드 톨가 카쉬프 로열필하모닉,2008 Seotaiji Symphony with Tolga Kashif Royal Philharmonic,2008.0,한국,"공연,다큐멘터리","감독,주연,시나리오(각본),프로듀서",138299384.0,17563.0,136585000.0,17264.0
7,2004 서태지 라이브 투어 제로,2004 Seotaiji Live Tour Zero,2005.0,한국,공연,"감독,주연",,,27786000.0,3148.0
8,이것은 서태지가 아니다!,This Is Not Seotaiji,2001.0,한국,다큐멘터리,주연,,,,
9,2000-2001 서태지밴드 라이브 콘서트 ‘태지의 화’,,,한국,"공연,다큐멘터리",감독,,,18295500.0,2144.0
10,서태지와 아이들 ’93 마지막 축제,,,한국,다큐멘터리,감독,,,,
11,서태지와 아이들 ’95 다른 하늘이 열리고,,,한국,다큐멘터리,감독,,,,
