,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,살아남은 아이,Last Child,2017,한국,드라마,주연-기현역,,,2019900.0,317.0
1,신과함께-죄와 벌,Along with the Gods: The Two Worlds,2017,한국,"판타지,드라마",단역-어린 자홍역,115699634137.0,14410931.0,115706188137.0,14411525.0
2,아이 캔 스피크,I Can Speak,2017,한국,코미디,조연,25532214986.0,3280243.0,25539734986.0,3281433.0
3,대호,The Tiger,2015,한국,사극,조연,13489904632.0,1762742.0,13489904632.0,1762742.0
4,"협녀, 칼의 기억",Memories of the Sword,2015,한국,"사극,액션",조연-감초역,3360045489.0,431310.0,3360045489.0,431310.0
5,순수의 시대,Empire of Lust,2015,한국,"사극,드라마",단역-어린 민재역,3740948828.0,469891.0,3743046828.0,470308.0
6,나의 독재자,My Dictator,2014,한국,드라마,단역-중학생 태식역,2906692546.0,385934.0,2907311546.0,386072.0
7,맨홀,Manhole,2014,한국,"공포(호러),스릴러",조연-맨홀아이역,1084557130.0,133663.0,1084557130.0,133663.0
8,역린,The Fatal Encounter,2014,한국,사극,조연-어린 갑수역,29893297890.0,3849433.0,29895031890.0,3849700.0
9,숨바꼭질,Hide and Seek,2013,한국,스릴러,조연-어린시절 성철역,39602987500.0,5604104.0,39602995500.0,5604106.0
10,은밀하게 위대하게,Secretly Greatly,2013,한국,"액션,코미디,드라마",단역-어린 해진역,48700887413.0,6959083.0,48700887413.0,6959083.0
11,파파로티,My Paparotti,2013,한국,드라마,조연-어린 장호역,11825934000.0,1716429.0,11826024000.0,1716438.0
12,콩나물,,2013,한국,"가족,드라마",주연-수완역,,,,
13,세계일주,The Trip Around the World (W/T),2012,한국,"가족,어드벤처",조연-한상필역,32479400.0,4449.0,32479400.0,4449.0
14,마이 웨이,My Way,2011,한국,"전쟁,액션,드라마",단역-아역 타츠오역,15994803000.0,2142622.0,15995187000.0,2142670.0
15,완득이,Punch,2011,한국,드라마,단역-어린 완득역,38530503500.0,5310510.0,38533831000.0,5311353.0
16,블라인드,Blind,2011,한국,스릴러,단역-어린 동현역,18387176500.0,2367272.0,18390012500.0,2367942.0
17,검은 갈매기,Black Dove,2011,한국,드라마,조연-어린 준구역,,,0.0,0.0
