,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,포르투나,FORTUNA,2017,이탈리아,드라마,감독,,,35000.0,5.0
1,투와이스 본,Twice Born,2012,이탈리아,"드라마,멜로/로맨스",감독,28249700.0,3753.0,28249700.0,3753.0
2,작은 산 주변에서,36 Vues du pic Saint-Loup,2009,"프랑스,이탈리아","코미디,드라마",주연,,,356000.0,56.0
3,웨딩 디렉터,The Wedding Director,2006,"이탈리아,프랑스",드라마,주연,,,98000.0,21.0
4,식탁으로 간 영화,Cinama And Food,2005,프랑스,다큐멘터리,주연,,,,
5,빨간 구두,Don't Move,2004,이탈리아,드라마,"감독,주연",0.0,6237.0,25639000.0,3775.0
6,로컬콜,Ne quittez pas!,2004,프랑스,"코미디,판타지",주연,,,,
7,내 어머니의 미소,My Mother's Smile,2002,이탈리아,드라마,주연,,,1656000.0,295.0
8,마사의 부엌,Mostly Martha,2001,"독일,이탈리아,오스트리아 ,스위스","코미디,멜로/로맨스",주연,9966400.0,1436.0,10520400.0,1538.0
9,알게 될거야,Who Knows?,2001,"프랑스,이탈리아,독일","드라마,코미디,멜로/로맨스",주연-위고역,0.0,3283.0,2939000.0,649.0
10,불공평한 경쟁,Unfair Competition,2001,"이탈리아,프랑스","드라마,전쟁",주연,,,,
11,아방드르,For Sale,1998,프랑스,드라마,주연,,,,
12,스타 메이커,The Star Maker,1995,헝가리,"코미디,드라마",주연,0.0,15774.0,478000.0,99.0
