,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,돌아와요 부산항애(愛),BROTHERS IN HEAVEN,2017,한국,"범죄,액션,드라마",조연-쉐인역,53622300.0,6954.0,53622300.0,6954.0
1,조선마술사,The Magician,2015,한국,드라마,조연,4650016527.0,628576.0,4650016527.0,628576.0
2,순수의 시대,Empire of Lust,2015,한국,"사극,드라마",조연-태조역,3740948828.0,469891.0,3743046828.0,470308.0
3,터널 3D,Tunnel 3D,2014,한국,"공포(호러),스릴러",조연-김씨역,620874000.0,80989.0,621132000.0,81008.0
4,붉은 가족,Red Family,2013,한국,"드라마,액션",주연-조명식역,27190500.0,3756.0,28790500.0,3916.0
5,히어로,THE HERO,2013,한국,"가족,SF,드라마",단역-원무과장역,158900000.0,23841.0,158900000.0,23841.0
6,파파,Papa,2011,한국,"가족,코미디",조연-도사장역,3999992000.0,587279.0,4000072000.0,587291.0
7,퍼펙트 게임,Perfect Game,2011,한국,드라마,조연-김응룡역,11220408500.0,1507084.0,11220408500.0,1507084.0
8,오빠가 돌아왔다,Total Messed Family,2010,한국,"코미디,드라마",주연-백원만역,13193000.0,1958.0,13193000.0,1958.0
9,나는 아빠다,I Am Father,2010,한국,"액션,드라마",주연-나상만역,1246420500.0,168049.0,1246420500.0,168049.0
10,대한민국 1%,Miss Staff Sergeant,2010,한국,"드라마,액션",주연-강철인 중사역,2280762516.0,447569.0,2244690500.0,440372.0
11,물 좀 주소,"Thirsty, Thirsty",2009,한국,코미디,조연-피 사장역,16496662.0,2483.0,16315500.0,2455.0
12,인사동 스캔들,Insadong Scandal,2009,한국,"드라마,범죄,액션",단역-박가역,7900084842.0,1206101.0,7780811000.0,1187684.0
13,감자심포니,Potato Symphony,2008,한국,"액션,드라마",단역-불사조역,6102991.0,995.0,6161500.0,1002.0
14,날아라 펭귄,Fly Penguin,2008,한국,드라마,주연-권 과장 역,144886101.0,20599.0,143376000.0,20380.0
15,"좋은 놈, 나쁜 놈, 이상한 놈","The Good, The Bad, And The Weird",2008,한국,"서부극(웨스턴),액션,어드벤처","조연-아편 장사치, 서재식역",43768628939.0,6686912.0,43755789000.0,6686054.0
16,GP 506,The Guard Post,2007,한국,"공포(호러),미스터리,스릴러",단역-박 대령역,6316842000.0,945185.0,6316842000.0,936945.0
17,무방비도시,Open City,2007,한국,"범죄,액션",조연-오연수역,10591349944.0,1613728.0,10591149500.0,1600856.0
18,바르게 살자,Going By The Book,2007,한국,"코미디,드라마",주연-이승우역,0.0,2190250.0,13944930000.0,2135606.0
19,화려한 휴가,May 18,2007,한국,드라마,조연-정 선생역,0.0,7307993.0,44098824600.0,6855433.0
20,흡혈형사 나도열,"Vampire Cop, Ricky",2006,한국,"코미디,드라마",조연-탁문수역,0.0,1824822.0,9693558300.0,1563579.0
21,야수,Running Wild,2005,한국,액션,조연-보스 유강진역,0.0,1016152.0,5339725500.0,837011.0
22,엄마,Long & Winding Road,2004,한국,드라마,조연-큰 아들역,0.0,197793.0,978382500.0,161780.0
23,거미숲,Spider Forest,2004,한국,"미스터리,범죄",조연-김철주역,0.0,83411.0,412120500.0,63278.0
24,알포인트,R - Point,2004,한국,전쟁,주연-진창록 중사역,0.0,1689000.0,6793688000.0,1068362.0
25,효자동 이발사,The President's Barber,2004,한국,드라마,조연-경호실장 장혁수역,0.0,1972377.0,4855872900.0,748380.0
26,목포는 항구다,"Mokpo, Gangster’s Paradise",2003,한국,"드라마,코미디",조연-두호역,0.0,1795700.0,2673832500.0,425725.0
27,미소,A Smile,2003,한국,드라마,조연-철이역,0.0,1500.0,158000.0,31.0
28,선택,The Road Taken,2003,한국,드라마,단역-uncredited - 본인역,,7952.0,128000.0,32.0
29,튜브,Tube,2003,한국,액션,주연-권 실장역,0.0,467570.0,,
30,리워드,Reward,2003,한국,드라마,주연-사채업자역,,,,
31,여기가 끝이다,The End of the Road.,2003,한국,드라마,주연,,,,
32,밀애,Ardor,2002,한국,드라마,단역-은연 남편역,,144603.0,132000.0,22.0
33,오아시스,Oasis,2002,한국,드라마,조연-한상식역,,537068.0,1641000.0,205.0
34,꽃섬,Flower Island,2001,한국,드라마,주연-남편/두식역,0.0,7716.0,89000.0,15.0
35,인디안 썸머,Indian Summer,2001,한국,드라마,조연-성종훈역,0.0,388865.0,,
36,파이란,Failan,2001,한국,드라마,조연-용식역,0.0,222711.0,1719500.0,281.0
37,챠오,Chiao,2001,한국,,주연-아빠역,,,,
38,유령,Phantom The Submarine,1999,한국,"액션,드라마",조연-562역,0.0,347965.0,1556000.0,518.0
39,소풍,The Picnic,1999,한국,드라마,주연,,,,
40,한줌의 시간속에서,In The Handful Of Time,1993,한국,드라마,단역-일본 사내들역,0.0,5226.0,,
