,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,협상,,2018,한국,"범죄,스릴러",주연-하채윤역,,,,
1,지금 만나러 갑니다,Be With You,2017,한국,멜로/로맨스,주연-수아역,20796161128.0,2601572.0,20800916128.0,2602273.0
2,덕혜옹주,The Last Princess,2016,한국,"사극,드라마",주연-덕혜옹주역,44393828109.0,5599229.0,44395967609.0,5599665.0
3,나쁜놈은 죽는다 무삭제 특별판,,2015,"중국,한국","코미디,범죄,액션",주연,3000.0,1.0,3000.0,1.0
4,비밀은 없다,The Truth Beneath,2015,한국,스릴러,주연-연홍 역,2027801239.0,250650.0,2029523239.0,250861.0
5,나쁜놈은 죽는다,Bad Guys Always Die,2015,"중국,한국","코미디,액션",주연,117273700.0,14942.0,117324700.0,14950.0
6,해적: 바다로 간 산적,The Pirates,2014,한국,어드벤처,주연,66370682706.0,8666046.0,66372140706.0,8666208.0
7,공범,Blood and Ties,2012,한국,"스릴러,드라마",주연-다은역,12333110882.0,1766285.0,12333110882.0,1766285.0
8,타워,The Tower,2012,한국,드라마,주연-서윤희 역,37654858000.0,5181014.0,37654858000.0,5181014.0
9,오싹한 연애,Spellbound,2011,한국,"공포(호러),멜로/로맨스,코미디",주연-강여리역,22010977000.0,3009356.0,22011287000.0,3009406.0
10,백야행,White Night,2009,한국,"멜로/로맨스,미스터리,범죄,스릴러",주연-유미호 역,7170684217.0,956767.0,7121437000.0,949896.0
11,아내가 결혼했다,My Wife Got Married,2008,한국,"멜로/로맨스,드라마",주연,11995855000.0,1788748.0,12062180000.0,1799447.0
12,무방비도시,Open City,2007,한국,"범죄,액션",주연,10591349944.0,1613728.0,10591149500.0,1600856.0
13,천년여우 여우비,"Yobi, The Five-Tailed Fox",2007,한국,"애니메이션,가족,판타지",주연-여우비 목소리역(목소리),0.0,482988.0,2496355500.0,460925.0
14,작업의 정석,The Art Of Seduction,2005,한국,코미디,주연,0.0,2342232.0,11706585100.0,1853623.0
15,외출,April Snow,2005,한국,멜로/로맨스,주연,0.0,809191.0,4377147500.0,678916.0
16,내 머리 속의 지우개,A Moment To Remember,2004,한국,멜로/로맨스,주연,0.0,2565078.0,11935992600.0,1887850.0
17,첫사랑 사수 궐기 대회,Crazy First Love (Working Title),2003,한국,코미디,주연,0.0,2339410.0,,
18,클래식,The Classic,2003,한국,드라마,주연-지혜/주희역,,1545107.0,60120600.0,7514.0
19,연애소설,Lover's Concerto,2002,한국,드라마,주연,,589743.0,,
20,취화선,Chihwaseon,2002,한국,"드라마,사극",조연-소운역,,434108.0,570000.0,101.0
