,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,나랏말싸미,,2018,한국,사극,주연,,,,
1,패러사이트,,2018,한국,드라마,주연,,,,
2,택시운전사,A Taxi Driver,2017,한국,드라마,주연-김만섭역,95855737149.0,12186684.0,95868830649.0,12189195.0
3,마약왕,DRUG KING,2017,한국,"범죄,드라마",주연,,,,
4,제5열,,2017,한국,"액션,스릴러",주연,,,,
5,밀정,The Age of Shadows,2016,한국,액션,주연,61269783831.0,7500420.0,61270079831.0,7500457.0
6,사도,The Throne,2014,한국,사극,주연,48842902501.0,6246849.0,48846045501.0,6247651.0
7,변호인,The Attorney,2013,한국,드라마,주연-송우석역,82871759300.0,11374610.0,82872378788.0,11374879.0
8,관상,The Face Reader,2013,한국,"사극,드라마",주연-내경역,66005451500.0,9134586.0,66009826500.0,9135806.0
9,설국열차,Snowpiercer,2013,한국,"SF,액션",주연,67010077500.0,9349991.0,67012453200.0,9350351.0
10,청출어람,DAY TRIP,2012,한국,"드라마,판타지",주연,,,5094000.0,594.0
11,하울링,HOWLING,2011,한국,"범죄,드라마",주연-조상길역,11765293500.0,1612554.0,11765293500.0,1612554.0
12,푸른소금,Hindsight,2011,"한국,필리핀","액션,드라마,멜로/로맨스",주연-윤두헌역,5739824500.0,771699.0,5739824500.0,771699.0
13,의형제,Secret Reunion,2009,한국,"드라마,액션",주연-이한규역,40800867602.0,5507106.0,40153817000.0,5416829.0
14,박쥐,Thirst,2008,"한국,미국,호주","공포(호러),드라마",주연-상현역,15051788827.0,2237271.0,14846847500.0,2206948.0
15,"좋은 놈, 나쁜 놈, 이상한 놈","The Good, The Bad, And The Weird",2008,한국,"서부극(웨스턴),액션,어드벤처","주연-이상한 놈, 윤태구역",43768628939.0,6686912.0,43755789000.0,6686054.0
16,"좋은 놈, 나쁜 놈, 이상한 놈(칸버전)","The Good, the Bad, and the Weird(Cannes Version)",2008,"한국,중국,홍콩","서부극(웨스턴),액션,어드벤처",주연,,,228000.0,37.0
17,밀양,Secret Sunshine,2007,한국,드라마,"주연-카센터 사장, 김종찬 역",0.0,1710364.0,10270292500.0,1604439.0
18,우아한 세계,The Show Must Go On,2006,한국,액션,주연,0.0,1025781.0,6161685500.0,960658.0
19,괴물,The Host,2006,한국,"SF,가족,드라마",주연-강두역,0.0,13019740.0,66716119300.0,10917224.0
20,친절한 금자씨,Sympathy For Lady Vengeance,2005,한국,스릴러,조연-납치범 1(우정출연) 역,0.0,3650000.0,20491973593.0,3120784.0
21,남극일기,Antarctic Journal,2004,한국,스릴러,주연,0.0,1057311.0,5478113500.0,871235.0
22,효자동 이발사,The President's Barber,2004,한국,드라마,주연,0.0,1972377.0,4855872900.0,748380.0
23,살인의 추억,Memories Of Murder,2003,한국,스릴러,주연,,5255376.0,23573997.0,3833.0
24,사랑의 힘,The Power Of Love,2003,한국,기타,주연,,,,
25,YMCA야구단,YMCA Baseball Team,2002,한국,"드라마,코미디",주연,,560000.0,,
26,복수는 나의 것,Sympathy for Mr. Vengeance,2002,한국,"범죄,스릴러",주연,,162517.0,10456500.0,1421.0
27,공동경비구역 JSA,Joint Security Area /JSA,2000,한국,"드라마,미스터리",주연,0.0,2513540.0,8924700.0,1179.0
28,반칙왕,The Foul King,2000,한국,코미디,주연-대호역,0.0,787423.0,602000.0,80.0
29,쉬리,Swiri,1999,한국,"액션,드라마,멜로/로맨스,미스터리",주연-이장길역,0.0,5820000.0,,
30,조용한 가족,The Quiet Family,1998,한국,"드라마,미스터리,코미디",주연,0.0,343946.0,314500.0,41.0
31,넘버 3,No. 3,1997,한국,"코미디,액션,범죄",주연-조필역,0.0,297617.0,620500.0,82.0
32,초록물고기,Green Fish,1997,한국,"드라마,멜로/로맨스,액션",주연,0.0,163655.0,1087000.0,161.0
33,돼지가 우물에 빠진 날,The Day A Pig Fell Into A Well,1996,한국,드라마,단역,0.0,37103.0,606000.0,95.0
